,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Pollack, Aaron",MATH 100C - Abstract Algebra III (A),SP23,31,12,100.0%,100.0%,7.9,B+ (3.38),B+ (3.54)
1,"Klevdal, Christian Sleek",MATH 102 - Applied Linear Algebra (A),SP23,103,43,77.5%,71.8%,5.99,B (3.29),B (3.12)
2,"Nag, Panchali",MATH 102 - Applied Linear Algebra (B),SP23,107,97,91.8%,91.8%,6.11,B+ (3.34),B+ (3.45)
3,"Aycock, Jon Merrill",MATH 103B - Modern Algebra II (A),SP23,98,21,68.4%,84.2%,8.8,B (3.05),C+ (2.42)
4,"Chung, Kwun",MATH 103B - Modern Algebra II (B),SP23,103,35,70.6%,82.4%,9.79,B (3.24),B- (2.80)
5,"Popescu, Cristian D.",MATH 104B - Number Theory II (A),SP23,11,6,100.0%,100.0%,8.5,B+ (3.50),
6,"Lu, Yunze",MATH 109 - Mathematical Reasoning (A),SP23,49,13,91.7%,100.0%,7.83,B+ (3.58),B (3.03)
7,"Lu, Yunze",MATH 109 - Mathematical Reasoning (B),SP23,62,19,94.1%,100.0%,6.9,B+ (3.47),B- (2.99)
8,"Hodges, Reuven Moses",MATH 109 - Mathematical Reasoning (C),SP23,65,54,81.5%,92.5%,7.54,B- (2.98),B- (2.98)
9,"Chan, Pak Yeung",MATH 109 - Mathematical Reasoning (D),SP23,56,16,69.2%,50.0%,8.36,B (3.15),B- (2.99)
10,"Greenfeld, Be'Eri",MATH 109 - Mathematical Reasoning (E),SP23,71,26,100.0%,92.0%,6.66,A- (3.79),B- (3.00)
11,"Ophir, Amit",MATH 10A - Calculus I (A),SP23,176,91,47.1%,31.8%,6.8,C+ (2.51),C+ (2.60)
12,"Ophir, Amit",MATH 10A - Calculus I (B),SP23,181,89,58.1%,50.0%,5.87,C+ (2.61),B- (2.77)
13,"Parise, Davide",MATH 10B - Calculus II (A),SP23,259,108,41.5%,37.7%,7.61,C (2.20),C- (1.74)
14,"Gambheera Arachchige, Rusiru",MATH 10B - Calculus II (B),SP23,269,111,72.9%,71.7%,5.2,B- (2.90),B- (2.90)
15,"Lau, Jun Bo",MATH 10B - Calculus II (C),SP23,288,105,77.2%,71.4%,6.1,B (3.22),B (3.04)
16,"Sarkar, Pratyush",MATH 10C - Calculus III (A),SP23,72,34,56.3%,35.5%,5.71,C+ (2.66),C+ (2.40)
17,"Ganzberger, Geoffrey Michael",MATH 10C - Calculus III (B),SP23,124,49,66.0%,82.6%,6.17,B- (2.90),B- (2.77)
18,"Ganzberger, Geoffrey Michael",MATH 10C - Calculus III (C),SP23,159,69,78.5%,82.8%,7.29,B (3.03),B- (2.83)
19,"Agrawal, Shishir",MATH 11 - Calculus-Based Prob & Stats (A),SP23,240,107,75.0%,74.8%,6.35,B (3.30),B (3.14)
20,"Agrawal, Shishir",MATH 11 - Calculus-Based Prob & Stats (B),SP23,196,80,69.7%,65.8%,6.5,B+ (3.30),B (3.16)
21,"Li, Bo",MATH 114 - Intro/Computatnl Stochastics (A),SP23,39,9,100.0%,100.0%,5.25,B+ (3.57),B- (2.91)
22,"Xiao, Ming",MATH 120B - Applied Complex Analysis (A),SP23,46,16,100.0%,100.0%,5.43,B+ (3.43),B+ (3.48)
23,"Chow, Bennett",MATH 140B - Foundations/Real Analysis II (A),SP23,60,22,84.2%,94.4%,7.24,B+ (3.47),B (3.13)
24,"Zlatos, Andrej",MATH 140C - Foundations/Real Analysis III (A),SP23,24,7,100.0%,100.0%,9.07,B+ (3.50),B+ (3.42)
25,"Belmont, Eva Kinoshita",MATH 142B - Introduction to Analysis II (A),SP23,75,35,77.1%,94.1%,8.06,B (3.09),B- (2.93)
26,"Sheng, Hongyi",MATH 142B - Introduction to Analysis II (B),SP23,26,7,57.1%,85.7%,9.36,B- (2.71),C+ (2.33)
27,"Sarkar, Pratyush",MATH 142B - Introduction to Analysis II (C),SP23,32,11,40.0%,60.0%,9.3,B- (2.78),C+ (2.50)
28,"Jekel, David Andrew",MATH 146 - Analysis of Ordinary Diff Eqs (A),SP23,25,10,88.9%,100.0%,8.28,B+ (3.44),B+ (3.42)
29,"McKinley, Gweneth Anne",MATH 154 - Discrete Math & Graph Theory (A),SP23,185,146,93.2%,97.9%,6.64,B+ (3.40),B (3.03)
30,"Aliabadi Sr., Mohsen",MATH 154 - Discrete Math & Graph Theory (B),SP23,105,35,88.2%,93.8%,6.25,B+ (3.58),B+ (3.41)
31,"Bowers, Adam R.",MATH 163 - History of Mathematics (A),SP23,35,13,92.3%,91.7%,3.88,B (3.08),C+ (2.48)
