,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Wilbur, Kenneth C",MGT 100 - Customer Analytics (A),SP23,88,78,78.2%,79.5%,6.97,B (3.23),B (3.15)
1,"Wilbur, Kenneth C",MGT 100 - Customer Analytics (B),SP23,89,83,77.1%,80.7%,6.99,B+ (3.36),B (3.15)
2,"Wilbur, Kenneth C",MGT 100 - Customer Analytics (C),SP23,86,83,75.9%,71.1%,7.7,B+ (3.35),B (3.16)
3,"Ehrich, Kristine R",MGT 103 - Product Marketing & Management (A),SP23,85,65,95.4%,93.8%,3.98,B+ (3.40),B (3.03)
4,"Ehrich, Kristine R",MGT 103 - Product Marketing & Management (B),SP23,85,72,97.2%,98.6%,3.78,B+ (3.36),B (3.14)
5,"Bates, Kenneth Walter",MGT 103 - Product Marketing & Management (E),SP23,83,78,89.7%,94.8%,4.09,B+ (3.33),B (3.14)
6,"Demill, Burritt",MGT 103 - Product Marketing & Management (F),SP23,87,87,95.4%,96.6%,4.99,B+ (3.52),B+ (3.36)
7,"Demill, Burritt",MGT 103 - Product Marketing & Management (G),SP23,83,79,97.5%,97.5%,4.86,A- (3.70),B+ (3.48)
8,"Bates, Kenneth Walter",MGT 105 - Product Promotion & Brand Mgt (A),SP23,84,69,95.7%,89.9%,3.71,B+ (3.48),B (3.13)
9,"Somasundaram, Tyagarajan",MGT 112 - Global Business Strategy (A),SP23,54,46,87.0%,84.8%,4.94,B+ (3.58),B+ (3.34)
10,"Somasundaram, Tyagarajan",MGT 112 - Global Business Strategy (B),SP23,35,31,83.3%,86.7%,5.66,B+ (3.32),B- (3.00)
11,"Ehrich, Kristine R",MGT 112 - Global Business Strategy (C),SP23,65,62,95.1%,93.4%,5.35,B+ (3.60),B+ (3.42)
12,"Zimmermann, Carsten",MGT 112 - Global Business Strategy (D),SP23,67,54,92.6%,98.1%,4.43,A- (3.80),A- (3.72)
13,"Mc Kenzie, Craig R.M.",MGT 119 - Topics in Business (A),SP23,45,22,100.0%,100.0%,4.31,B+ (3.67),B (3.08)
14,"Anderson, Jon Marcus",MGT 119 - Topics in Business (B),SP23,78,40,100.0%,100.0%,3.12,A- (3.98),A- (3.99)
15,"Davis, Kathleen Ann",MGT 119 - Topics in Business (C),SP23,48,12,70.0%,80.0%,3.9,A- (3.80),B+ (3.59)
16,"Lindenberger, Wade Douglas",MGT 12 - Personal Financial Management (A),SP23,96,87,100.0%,100.0%,3.53,A- (3.75),A- (3.83)
17,"Lindenberger, Wade Douglas",MGT 12 - Personal Financial Management (B),SP23,96,78,100.0%,98.7%,3.04,A- (3.78),A- (3.81)
18,"Klaas, Jeffrey David",MGT 121A - Innovation to Market A (A),SP23,88,74,93.2%,91.9%,4.26,B+ (3.61),B+ (3.48)
