,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Chang, Edmond Yi-Teh","MMW 13 - Globalizing World, 13th-18th C (A)",SP23,252,146,57.5%,82.2%,6.78,B+ (3.47),B (3.21)
1,"Zhiri, Oumelbanine","MMW 13 - Globalizing World, 13th-18th C (B)",SP23,385,190,52.0%,79.4%,5.19,B+ (3.63),B+ (3.67)
2,"Murillo, Dana V.","MMW 13 - Globalizing World, 13th-18th C (C)",SP23,355,210,43.3%,56.6%,5.47,B+ (3.37),B+ (3.40)
3,"Chang, Edmond Yi-Teh",MMW 15 - The Contemporary Era (A),SP23,244,108,76.2%,89.9%,5.65,A- (3.77),B+ (3.63)
4,"Radcliff, Pamela B.",MMW 15 - The Contemporary Era (B),SP23,274,120,53.0%,83.5%,4.57,B+ (3.70),B+ (3.64)
5,"Prestholdt, Jeremy",MMW 15 - The Contemporary Era (C),SP23,110,60,80.7%,96.4%,4.21,A- (3.76),A- (3.92)
6,"Balberg, Mira",MMW 12 - Transforming Traditions (A),WI23,385,186,77.7%,98.8%,5.33,B+ (3.61),B+ (3.56)
7,"Adamiak, Patrick John",MMW 12 - Transforming Traditions (B),WI23,345,209,69.6%,97.3%,5.53,B+ (3.59),B+ (3.44)
8,"Kelting, Edward William",MMW 12 - Transforming Traditions (C),WI23,299,188,60.2%,96.5%,4.91,B+ (3.61),B+ (3.61)
9,"Peterson, Johanna Lee",MMW 122 - Exploring the Modern World (A),WI23,154,59,64.4%,87.9%,5.35,B+ (3.69),B (3.28)
10,"Rahimi, Babak",MMW 122 - Exploring the Modern World (B),WI23,219,93,55.2%,89.4%,6.68,B+ (3.56),B+ (3.32)
11,"Chang, Edmond Yi-Teh","MMW 14 - Revolution,Industry & Empire (A)",WI23,108,73,58.9%,82.2%,6.39,B+ (3.59),B+ (3.56)
12,"Chang, Edmond Yi-Teh","MMW 14 - Revolution,Industry & Empire (B)",WI23,163,109,52.8%,72.2%,7.02,B+ (3.60),B+ (3.50)
13,"duBois, Page Ann",MMW 11 - Prehistory/Ancient Foundations (A),FA22,349,149,55.9%,70.0%,5.18,B+ (3.33),
14,"Herbst, Matthew",MMW 11R - Prehistory/Ancient Foundations (A),FA22,352,240,72.3%,96.1%,6.79,B+ (3.58),A- (3.76)
15,"Herbst, Matthew",MMW 11R - Prehistory/Ancient Foundations (B),FA22,272,176,65.9%,95.9%,6.06,B+ (3.58),A- (3.81)
16,"Chang, Edmond Yi-Teh",MMW 121 - Exploring the Pre-Modern World (A),FA22,152,42,51.3%,71.1%,7.52,B (3.17),B (3.08)
17,"Patterson, Patrick H.",MMW 121 - Exploring the Pre-Modern World (B),FA22,233,73,46.4%,87.0%,7.24,B+ (3.57),B+ (3.40)
18,"Chang, Edmond Yi-Teh","MMW 14 - Revolution,Industry & Empire (A)",FA22,327,107,64.0%,70.0%,6.78,B+ (3.60),B+ (3.60)
19,"Wood, Lauren Elizabeth",MMW 12 - Classical & Medieval Tradition (A),S322,24,9,100.0%,100.0%,9.17,B+ (3.67),B+ (3.30)
20,"Vipperman-Cohen, Melissa Rachelle",MMW 13 - New Ideas & Cultural Encountrs (A),S322,16,3,66.7%,100.0%,5.83,C+ (2.67),
21,"Rahimi, Babak",MMW 122 - Exploring the Modern World (A),S222,108,17,75.0%,100.0%,9.25,B+ (3.56),B (3.17)
22,"Chang, Edmond Yi-Teh",MMW 15 - Twentieth Century and Beyond (A),S222,107,20,68.4%,89.5%,8.92,A- (3.72),B+ (3.36)
23,"Chang, Edmond Yi-Teh",MMW 15 - Twentieth Century and Beyond (B),S222,109,11,77.8%,77.8%,5.61,B+ (3.33),B+ (3.31)
24,"Gray, Taylor Erin",MMW 15 - Twentieth Century and Beyond (C),S222,118,26,76.0%,100.0%,5.75,A- (3.75),A- (3.84)
25,"Patterson, Patrick H.",MMW 15GS - Twentieth Century and Beyond (A),S222,28,19,94.4%,100.0%,10.06,A- (3.83),A- (3.86)
26,"Patterson, Patrick H.",MMW 121 - Exploring the Pre-Modern World (A),S122,53,35,80.0%,94.3%,8.16,B+ (3.43),B (3.05)
27,"Adamiak, Patrick John","MMW 14 - Revolution,Industry & Empire (A)",S122,114,18,70.6%,100.0%,10.13,B+ (3.63),B+ (3.35)
28,"Tchir, Paul Kost Nikolai","MMW 14 - Revolution,Industry & Empire (B)",S122,120,32,89.7%,96.6%,7.88,A- (3.86),B+ (3.62)
29,"Palhegyi, Joel David","MMW 14 - Revolution,Industry & Empire (C)",S122,112,17,75.0%,93.8%,7.88,B+ (3.50),B+ (3.51)
30,"Chang, Edmond Yi-Teh",MMW 13 - New Ideas & Cultural Encountrs (A),SP22,259,96,81.3%,93.3%,7.15,B+ (3.67),B (3.28)
31,"Zhiri, Oumelbanine",MMW 13 - New Ideas & Cultural Encountrs (B),SP22,298,144,59.4%,76.4%,4.74,B+ (3.69),A- (3.71)
32,"Vitkus, Daniel J.",MMW 13 - New Ideas & Cultural Encountrs (C),SP22,215,112,41.3%,39.4%,5.51,B+ (3.33),B (3.23)
33,"Murillo, Dana V.",MMW 13 - New Ideas & Cultural Encountrs (D),SP22,265,127,57.4%,82.8%,5.05,A- (3.73),B+ (3.68)
34,"Chang, Edmond Yi-Teh",MMW 15 - Twentieth Century and Beyond (A),SP22,267,137,72.0%,91.1%,6.07,B+ (3.63),B+ (3.55)
35,"Prestholdt, Jeremy",MMW 15 - Twentieth Century and Beyond (B),SP22,295,147,68.2%,96.9%,4.3,B+ (3.63),B+ (3.64)
36,"Balberg, Mira",MMW 12 - Classical & Medieval Tradition (A),WI22,384,231,75.8%,99.1%,5.69,A- (3.70),B+ (3.61)
37,"Chang, Edmond Yi-Teh",MMW 12 - Classical & Medieval Tradition (B),WI22,290,173,66.7%,81.0%,7.4,B+ (3.34),B (3.22)
38,"Kelting, Edward William",MMW 12 - Classical & Medieval Tradition (C),WI22,384,240,68.5%,97.4%,6.0,B+ (3.43),B+ (3.47)
39,"Patterson, Patrick H.",MMW 122 - Exploring the Modern World (A),WI22,232,116,70.9%,95.4%,6.46,B+ (3.58),B+ (3.39)
40,"Rahimi, Babak",MMW 122 - Exploring the Modern World (B),WI22,161,67,51.6%,69.4%,6.31,B+ (3.46),B+ (3.37)
