,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Karis, Aleck",MUS 101C - Music Theory and Practice III (A),SP23,21,4,100.0%,100.0%,6.0,B+ (3.50),B (3.04)
1,"Guy, Nancy",MUS 107 - Critical Studies Seminar (A),SP23,5,3,100.0%,100.0%,3.83,A (4.00),
2,"Terrazas Perez, Wilfrido D",MUS 11 - Folk Music (A),SP23,201,69,100.0%,100.0%,2.26,A- (3.88),A- (3.87)
3,"Narucki, Susan M",MUS 113 - Topic/Classic&Romantc & Modern (A),SP23,31,16,93.8%,93.8%,2.77,A- (3.83),B+ (3.52)
4,"Yu, Cheuk Ling",MUS 120C - Hist Mus in Westrn Culture III (A),SP23,19,4,100.0%,100.0%,3.5,A (4.00),
5,"Ohnishi, Takae",MUS 130 - Chamber Music Performance (A),SP23,40,16,100.0%,86.7%,4.23,A (4.00),A (4.00)
6,"Kenyatta, Kamau",MUS 137C - Jazz Theory and Improvisation (A),SP23,16,4,100.0%,100.0%,0.5,A (4.00),
7,"Burr, Anthony I",MUS 143 - Department Seminar (A),SP23,31,4,100.0%,100.0%,0.5,A (4.00),
8,"Schaffer, Max Benjamin",MUS 15 - Popular Music (A),SP23,186,63,96.5%,100.0%,1.82,A- (3.98),A- (3.91)
9,"Davis, Anthony Curtis",MUS 150 - Jazz & Music/African Diaspora (A),SP23,16,6,100.0%,100.0%,1.83,A- (3.83),
10,"Burr, Anthony I",MUS 17 - Hip-Hop (A),SP23,285,77,93.1%,97.2%,2.53,A- (3.74),B+ (3.44)
11,"Erbe, Tom",MUS 170 - Art of Sound (A),SP23,58,13,84.6%,100.0%,1.42,A- (3.85),A- (3.78)
12,"Britt, King James",MUS 174C - Audio&MIDI StudioTechniquesIII (A),SP23,26,8,100.0%,100.0%,5.75,A (4.00),A- (3.99)
13,"Smyth, Tamara R.",MUS 175 - Musical Psychoacoustics (A),SP23,28,20,90.0%,95.0%,3.45,B+ (3.53),B+ (3.58)
