,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Yang, Kesong",NANO 106 - Crystallography of Materials (A),SP23,30,14,100.0%,100.0%,6.36,B+ (3.64),B (3.17)
1,"Meyers, Marc",NANO 108 - Materials Science & Engineerng (A),SP23,50,44,86.4%,77.3%,4.45,B+ (3.61),B+ (3.34)
2,"Vazquez Mena, Oscar",NANO 112 - Synthesis/Fabricatn/NanoEngSys (A),SP23,52,20,100.0%,100.0%,5.5,A- (3.70),
3,"Tao, Andrea Rae",NANO 115L - NanoEngineering Laboratory (A),SP23,7,4,100.0%,100.0%,2.5,A (4.00),
4,"Horvath, Stephen",NANO 115L - NanoEngineering Laboratory (B),SP23,29,13,46.2%,76.9%,6.81,B+ (3.46),B (3.16)
5,"Vecchio, Kenneth S",NANO 120B - NanoEng Systems Design II (B),SP23,13,3,100.0%,100.0%,9.83,A (4.00),
6,"Ong, Shyue Ping",NANO 120B - NanoEng Systems Design II (C),SP23,17,6,100.0%,100.0%,8.5,A (4.00),
7,"Lubarda, Vlado",NANO 141A - Eng Mech I: Analysis of Equil (A),SP23,19,15,93.3%,100.0%,6.1,A- (3.73),
8,"Fullerton, Eric E",NANO 156 - Modern Concepts/Nanotechnology (A),SP23,28,10,60.0%,60.0%,7.3,B- (2.78),B (3.13)
9,"Steinmetz, Nicole F",NANO 175 - NanoEngineering in Medicine (A),SP23,35,13,100.0%,100.0%,4.65,B+ (3.67),B+ (3.62)
10,"Sirbuly, Donald",NANO 104 - Foundatn NanoEng/Physical Prin (A),WI23,49,14,92.9%,92.9%,7.79,B+ (3.36),B (3.20)
11,"Cubukcu, Ertugrul",NANO 107 - Elect Dev&Circuits for NanoEng (A),WI23,44,16,50.0%,43.8%,8.88,B (3.13),B- (2.96)
12,"Lubarda, Vlado",NANO 108 - Materials Science & Engineerng (A),WI23,45,30,100.0%,100.0%,5.23,B+ (3.53),B+ (3.59)
13,"Lipomi, Darren John",NANO 11 - Intro to NanoEngineering (A),WI23,55,27,91.7%,95.8%,6.0,B (3.29),B (3.24)
14,"Lubarda, Vlado",NANO 114 - Prob and Stat Methods for Eng (A),WI23,36,27,92.6%,100.0%,4.43,B+ (3.59),B+ (3.34)
15,"Yang, Kesong",NANO 120A - NanoEng Systems Design I (A),WI23,7,3,100.0%,100.0%,15.17,A (4.00),
16,"Horvath, Stephen",NANO 120A - NanoEng Systems Design I (B),WI23,25,11,70.0%,100.0%,7.59,A- (3.70),B+ (3.48)
17,"Pokorski, Jonathan Kyle",NANO 134 - Polymeric Materials (A),WI23,31,17,76.5%,88.2%,5.79,B (3.25),B- (2.90)
18,"Luo, Jian",NANO 148 - Thermodynamics of Materials (A),WI23,39,15,46.7%,53.3%,7.93,B- (2.92),B (3.21)
19,"Drews, Aaron",NANO 15 - Engin. Comp Using MATLAB (A),WI23,25,15,71.4%,71.4%,7.17,B+ (3.50),C+ (2.58)
20,"Tao, Andrea Rae",NANO 102 - Foundatn NanoEng: Chem Princpl (A),FA22,64,24,91.7%,91.7%,7.0,B+ (3.33),B- (2.92)
21,"Pascal, Tod A",NANO 110 - Modeling of Nanoscale Systems (A),FA22,40,36,88.9%,97.2%,8.22,B+ (3.34),B (3.24)
22,"Fenning, David",NANO 111 - Characterization/NanoEng Systm (A),FA22,51,24,65.2%,56.5%,8.07,B (3.04),B (3.15)
23,"Cubukcu, Ertugrul",NANO 117 - Multi-scale Transport (A),FA22,26,8,75.0%,75.0%,5.0,B (3.13),B+ (3.35)
24,"Vazquez Mena, Oscar",NANO 119 - NanoEng System Design Seminar (A),FA22,4,4,50.0%,100.0%,5.0,A- (3.75),
25,"Wang, Joseph",NANO 159 - Electrochem:Fundamentals&Appl (A),FA22,27,9,100.0%,100.0%,7.0,A- (3.86),B (3.22)
26,"Lubarda, Vlado",NANO 15R - Eng Comp Using MATLAB Online (A),FA22,24,12,100.0%,91.7%,3.67,A- (3.83),B (3.28)
27,"Lubarda, Vlado",NANO 15R - Eng Comp Using MATLAB Online (B),FA22,26,14,85.7%,92.9%,4.36,B+ (3.46),B (3.04)
28,"Ong, Shyue Ping",NANO 181 - Data Sci in Materials Sci (A),FA22,10,6,100.0%,100.0%,9.83,B+ (3.50),
29,"Sirbuly, Donald",NANO 20L - IntroNanomaterialSynthesisLab (A),FA22,29,9,100.0%,100.0%,2.94,A- (3.89),B+ (3.68)
30,"Sirbuly, Donald",NANO 20L - IntroNanomaterialSynthesisLab (C),FA22,14,8,100.0%,100.0%,2.5,A- (3.86),
31,"Vazquez Mena, Oscar",NANO 4 - Experience NanoEngineering (A),FA22,17,16,100.0%,100.0%,1.63,A (4.00),
32,"Vazquez Mena, Oscar",NANO 4 - Experience NanoEngineering (B),FA22,20,16,100.0%,100.0%,1.5,B+ (3.40),
33,"Vazquez Mena, Oscar",NANO 4 - Experience NanoEngineering (C),FA22,16,7,100.0%,85.7%,1.64,,
34,"Yang, Kesong",NANO 15 - Engin. Comp Using MATLAB (A),S222,9,5,60.0%,80.0%,4.1,B+ (3.60),
35,"Jahed Motlagh, Zeinab",NANO 103 - Foundatn NanoEng/Biochem Princ (A),SP22,24,21,85.7%,85.7%,5.36,B+ (3.42),B+ (3.51)
36,"Yang, Kesong",NANO 106 - Crystallography of Materials (A),SP22,21,16,100.0%,100.0%,4.75,B+ (3.56),B (3.08)
37,"Luo, Jian",NANO 108 - Materials Science & Engineerng (A),SP22,71,43,88.1%,71.4%,5.36,B+ (3.40),B (3.04)
38,"Vazquez Mena, Oscar",NANO 112 - Synthesis/Fabricatn/NanoEngSys (A),SP22,64,55,90.9%,98.2%,5.19,B+ (3.43),B+ (3.48)
39,"Tao, Andrea Rae",NANO 115L - NanoEngineering Laboratory (A),SP22,13,6,80.0%,100.0%,5.7,A (4.00),
40,"Cubukcu, Ertugrul",NANO 117 - Multi-scale Transport (A),SP22,24,9,88.9%,88.9%,6.72,B+ (3.63),B (3.23)
41,"Pokorski, Jonathan Kyle",NANO 120B - NanoEng Systems Design II (A),SP22,34,14,75.0%,91.7%,7.0,A- (3.83),A- (3.72)
42,"Ong, Shyue Ping",NANO 120B - NanoEng Systems Design II (B),SP22,20,6,100.0%,100.0%,10.83,A (4.00),A- (3.78)
43,"Xu, Sheng",NANO 156 - Modern Concepts/Nanotechnology (A),SP22,74,34,96.9%,100.0%,4.56,B+ (3.35),A- (3.71)
44,"Steinmetz, Nicole F",NANO 175 - NanoEngineering in Medicine (A),SP22,24,10,100.0%,100.0%,5.3,B+ (3.60),B+ (3.37)
45,"Sirbuly, Donald",NANO 104 - Foundatn NanoEng/Physical Prin (A),WI22,51,25,70.8%,78.3%,7.33,B (3.13),B (3.24)
46,"Cubukcu, Ertugrul",NANO 107 - Elect Dev&Circuits for NanoEng (A),WI22,29,11,72.7%,81.8%,7.59,B+ (3.30),B (3.26)
47,"Lubarda, Vlado",NANO 108 - Materials Science & Engineerng (A),WI22,68,31,96.8%,100.0%,4.82,A- (3.74),B+ (3.51)
