,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Green, Daniel Richard",PHYS 105B - Mathematical&Computatnl Phy II (A),SP23,30,7,100.0%,100.0%,6.79,B (3.29),B+ (3.32)
1,"Murphy, Thomas",PHYS 12 - Energy and the Environment (A),SP23,57,14,64.3%,85.7%,7.64,B+ (3.30),B (3.02)
2,"Yang, Liang",PHYS 120 - Circuits and Electronics (A),SP23,83,30,55.2%,92.6%,9.3,B (3.20),B+ (3.50)
3,"Wright, Shelley Adams",PHYS 13 - Life in the Universe (A),SP23,67,19,89.5%,89.5%,5.97,B+ (3.45),B- (2.96)
4,"Lin, Tongyan",PHYS 130A - Quantum Physics I (A),SP23,62,19,100.0%,94.4%,7.97,B+ (3.32),B (3.11)
5,"Allen, Monica T",PHYS 133 - Condensed Matter/MATL Sci. Lab (A),SP23,27,13,100.0%,100.0%,3.73,A- (3.83),A (4.00)
6,"Jun, Suckjoon",PHYS 139 - Special Topics (A),SP23,17,5,100.0%,100.0%,3.7,A- (3.75),
7,"Kleinfeld, David",PHYS 139 - Special Topics (A),SP23,17,5,100.0%,100.0%,3.7,A- (3.75),
8,"Arnold, Kam S",PHYS 139 - Special Topics (B),SP23,9,3,100.0%,100.0%,7.17,B (3.00),
9,"Duarte, Javier Mauricio",PHYS 141 - Comp Phys I:Prob Models & Simu (A),SP23,27,22,86.4%,95.2%,8.23,B (3.27),B+ (3.59)
10,"Hirsch, Jorge Eduardo",PHYS 152B - Electronic Materials (A),SP23,13,3,100.0%,66.7%,9.83,C (2.00),
11,"Keating, Brian",PHYS 162 - Cosmology (A),SP23,39,15,86.7%,85.7%,5.43,B (3.13),B (3.26)
12,"Koslover, Elena F",PHYS 177 - Physics of the Cell (A),SP23,11,6,100.0%,100.0%,7.17,B (3.17),
13,"Gilbert, Dylan Paul",PHYS 1A - Mechanics (A),SP23,425,147,92.2%,98.6%,5.9,B (3.09),B- (2.78)
14,"Tsai, Philbert S",PHYS 1AL - Mechanics Laboratory (0),SP23,332,103,46.5%,51.5%,5.55,B (3.09),C+ (2.64)
15,"Yagil, Avi",PHYS 1AL - Mechanics Laboratory (0),SP23,332,103,46.5%,48.5%,5.55,B (3.09),C+ (2.64)
16,"Gilbert, Dylan Paul",PHYS 1B - Electricity and Magnetism (A),SP23,341,114,84.5%,98.2%,5.95,B (3.19),B- (2.81)
17,"Tsai, Philbert S",PHYS 1BL - Electricity & Magnetism Lab (0),SP23,336,104,46.9%,71.1%,4.58,B (3.18),B- (2.89)
18,"Yagil, Avi",PHYS 1BL - Electricity & Magnetism Lab (0),SP23,336,104,46.9%,69.1%,4.58,B (3.18),B- (2.89)
19,"Popmintchev, Tenio","PHYS 1C - Waves, Optics & Modern Physics (A)",SP23,573,320,63.7%,69.6%,5.67,B (3.19),B+ (3.36)
20,"Popmintchev, Tenio","PHYS 1C - Waves, Optics & Modern Physics (B)",SP23,585,373,64.0%,64.2%,5.38,B (3.29),B+ (3.44)
21,"Tsai, Philbert S","PHYS 1CL - Waves,Optics&Modrn Phys Lab (0)",SP23,1055,458,34.5%,56.1%,5.1,B (3.13),B (3.01)
22,"Yagil, Avi","PHYS 1CL - Waves,Optics&Modrn Phys Lab (0)",SP23,1055,458,34.5%,52.7%,5.1,B (3.13),B (3.01)
23,"Keres, Dusan",PHYS 2A - Physics-Mechanics (A),SP23,255,97,80.6%,73.1%,6.65,B (3.00),C+ (2.51)
24,"Shotwell, Brian",PHYS 2B - Phys-Electricity and Magnetism (A),SP23,207,78,83.8%,94.6%,8.72,B (3.13),B- (2.81)
25,"Shotwell, Brian",PHYS 2B - Phys-Electricity and Magnetism (B),SP23,319,138,78.6%,92.3%,8.15,B (3.17),B- (2.86)
26,"Butov, Leonid",PHYS 2BL - Physics Laboratory-Mechanics (A),SP23,248,88,80.0%,77.4%,3.58,B+ (3.68),B+ (3.44)
