,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Hulme, Michael P",POLI 100B - The U. S. Congress (A),SP23,176,50,85.7%,87.8%,4.09,B+ (3.63),B+ (3.41)
1,"Kousser, Thad",POLI 103A - Calif Government & Politics (A),SP23,218,35,96.9%,93.5%,5.5,B+ (3.63),B+ (3.67)
2,"Smith, Glenn Chatmas",POLI 104D - Judicial Politics (A),SP23,152,34,90.3%,90.3%,6.13,B+ (3.50),B (3.24)
3,"Nichter, Maysa",POLI 104J - Introduction/Legal Reasoning (A),SP23,67,26,96.2%,100.0%,4.96,B+ (3.58),A- (3.71)
4,"Orfield, Michael Bennett","POLI 104P - Science, Technology & the Law (A)",SP23,201,55,94.2%,100.0%,3.0,A- (3.80),A- (3.93)
5,"Ingham, Sean",POLI 110C - Politcl Thought/Kant-Nietzsche (A),SP23,37,17,82.4%,76.5%,6.03,B+ (3.38),B (3.26)
6,"Desposato, Scott",POLI 11D - Intro/Poli Sci:Compar Politics (A),SP23,194,80,96.0%,97.3%,3.83,B+ (3.70),B+ (3.55)
7,"Naoi, Megumi",POLI 125B - Politics of Food/Global Econ. (A),SP23,129,40,81.6%,94.7%,4.13,B+ (3.47),B (3.18)
8,"Nichter, Simeon C",POLI 125D - Corruption/DevelopingCountries (A),SP23,144,38,91.9%,94.6%,4.5,A- (3.82),B+ (3.44)
9,"Nichter, Simeon C",POLI 126 - Political Economy/Development (A),SP23,90,14,100.0%,100.0%,4.64,A- (3.77),B+ (3.43)
10,"Gartzke, Erik",POLI 12D - Intro/Poli Sci:Int'l Relations (A),SP23,179,66,82.3%,72.6%,4.34,B+ (3.53),B+ (3.45)
11,"Gartzke, Erik",POLI 142D - Weapons of Mass Destruction (A),SP23,231,58,91.2%,87.7%,4.43,A- (3.85),B+ (3.33)
12,"Joseph, Michael F",POLI 145 - Theories/Techno & Nat Security (A),SP23,75,20,100.0%,100.0%,3.8,A- (3.70),A- (3.81)
13,"Fisk, David Lee",POLI 145C - Interntnl Reltn After Cold War (A),SP23,114,25,88.0%,95.8%,4.42,A- (3.83),B+ (3.57)
14,"Wong, Tak Kei",POLI 150A - Politics of Immigration (A),SP23,218,69,97.0%,95.5%,3.31,B+ (3.70),A- (3.72)
15,"Gaudette, Jennifer Colleen",POLI 160AA - Introduction/Policy Analysis (A),SP23,166,69,98.5%,100.0%,3.71,A- (3.78),A- (3.77)
16,"Anderson, Anthony Michael",POLI 30D - Political Inquiry (A),SP23,168,160,95.0%,98.7%,4.96,B+ (3.46),B+ (3.32)
17,"Arnold, David Hall",POLI 5D - Data Analytics/Social Sciences (A),SP23,46,12,75.0%,91.7%,4.17,B+ (3.58),B- (2.91)
18,"Gause, LaGina",POLI 100I - Participation and Inequality (A),WI23,150,62,83.3%,91.4%,4.13,B+ (3.60),B (3.05)
19,"Fletcher, Nathan",POLI 102D - Voting Rights Act 50 yrs later (A),WI23,215,60,94.7%,98.2%,3.75,A- (3.71),B+ (3.66)
20,"Smith, Glenn Chatmas",POLI 104B - Civil Liberties-Fundmntl Rghts (A),WI23,168,41,89.5%,89.5%,6.61,B+ (3.47),B+ (3.41)
21,"Nichter, Maysa",POLI 104U - Introduction to Business Law (A),WI23,224,54,100.0%,100.0%,4.34,B+ (3.62),B+ (3.62)
22,"Hill, Seth J",POLI 10D - Intro/Poli Sci:Amer Politics (A),WI23,202,110,97.1%,98.1%,4.46,B+ (3.50),B+ (3.40)
23,"Ingham, Sean","POLI 110B - Sovereigns,Subj & Modern State (A)",WI23,49,17,87.5%,87.5%,5.5,B+ (3.41),B- (2.75)
24,"Izzo, Federica",POLI 112A - Economic Theories/Pol Behavior (A),WI23,99,29,69.0%,75.9%,3.12,A- (3.78),B+ (3.31)
25,"Hoston, Germaine",POLI 113BR - Chin/Japn Political Thought I (A),WI23,145,29,85.2%,96.3%,5.58,B+ (3.67),B+ (3.61)
26,"Hoston, Germaine",POLI 114BR - Marxist Political Thought (A),WI23,90,12,72.7%,63.6%,6.5,B+ (3.36),B+ (3.62)
27,"Wiens, David",POLI 118 - Game Theory/Political Science (A),WI23,52,17,87.5%,93.8%,5.38,B+ (3.63),B+ (3.41)
28,"Neuheiser, Joerg",POLI 120D - Germany: Division (A),WI23,46,36,91.2%,97.1%,5.09,B+ (3.35),B+ (3.33)
29,"Fisk, David Lee",POLI 126AB - Politics&Econ/CntrlEast Europe (A),WI23,110,31,89.7%,96.4%,4.63,B+ (3.58),B+ (3.40)
30,"Feeley, Maureen Catherine",POLI 127 - Politics of Development (A),WI23,112,26,95.7%,90.9%,5.54,A- (3.78),B (3.28)
31,"Saiegh, Sebastian",POLI 134D - Topics/Latin American Politics (A),WI23,47,12,83.3%,100.0%,3.83,B+ (3.42),B (3.11)
32,"Ferree, Karen E",POLI 135D - Compar. Pol/Race & Ethnicity (A),WI23,98,24,95.7%,100.0%,4.33,A- (3.83),B (3.23)
33,"Wong, Tak Kei",POLI 140D - It'l Human Rights Law Migrants (A),WI23,162,40,97.4%,97.2%,4.09,A- (3.82),B+ (3.56)
34,"Mares, David R",POLI 146A - US & Latin Amer:Pol&Econ Rel (A),WI23,106,25,71.4%,75.0%,4.5,B (3.22),C+ (2.56)
35,"Roeder, Philip G",POLI 147B - Russian-American Relations (A),WI23,93,19,84.2%,89.5%,5.34,B (3.28),B (3.27)
36,"Wong, Tak Kei",POLI 150A - Politics of Immigration (A),WI23,220,60,100.0%,100.0%,3.37,A- (3.91),B+ (3.63)
37,"Saiegh, Sebastian",POLI 163 - Analyzing Politics (A),WI23,94,24,83.3%,83.3%,3.25,B+ (3.48),B (3.12)
38,"Izzo, Federica",POLI 174 - Analyzing Elections (A),WI23,42,8,87.5%,87.5%,2.75,B+ (3.50),A- (3.74)
39,"Mignozzetti, Umberto",POLI 175 - Machine Learning/Social Scient (A),WI23,33,11,90.9%,90.9%,4.68,B+ (3.40),A (4.00)
40,"Elgin, Samuel Zincke",POLI 27 - Ethics And Society I (A),WI23,120,46,87.0%,100.0%,3.54,B+ (3.67),B+ (3.38)
41,"Elgin, Samuel Zincke",POLI 28 - Ethics And Society II (A),WI23,135,60,94.7%,100.0%,3.89,A- (3.79),B+ (3.46)
42,"Mignozzetti, Umberto",POLI 30D - Political Inquiry (A),WI23,161,78,65.8%,65.8%,3.87,B+ (3.65),B+ (3.48)
43,"Arnold, David Hall",POLI 5D - Data Analytics/Social Sciences (A),WI23,23,8,87.5%,100.0%,4.5,B+ (3.57),B (3.14)
44,"Arnold, David Hall",POLI 5D - Data Analytics/Social Sciences (B),WI23,10,5,100.0%,100.0%,6.1,C+ (2.60),
45,"Fletcher, Nathan",POLI 100G - How to Win or Lose an Election (A),FA22,211,49,93.5%,93.5%,5.27,A- (3.77),A (4.00)
46,"Gause, LaGina",POLI 100V - Organized Interests (A),FA22,106,41,78.0%,82.9%,4.45,B+ (3.46),B (3.05)
47,"Paglayan, Agustina","POLI 100W - Politics,Policy,& Educ Inequal (A)",FA22,87,23,95.7%,95.7%,4.93,B+ (3.61),B- (2.95)
48,"Smith, Glenn Chatmas",POLI 104A - Supreme Court & Constitution (A),FA22,223,43,87.2%,82.1%,5.7,B+ (3.43),B (3.18)
49,"Smith, Glenn Chatmas",POLI 104F - Constitutional Law (A),FA22,19,4,100.0%,100.0%,7.5,B- (2.75),
50,"Stephens, Mattheus E",POLI 104M - Law and Sex (A),FA22,150,35,97.1%,97.0%,4.56,B+ (3.32),B (3.26)
51,"Wiens, David",POLI 110A - Citiz & Saints:Plato-Augustine (A),FA22,47,9,100.0%,100.0%,4.94,B+ (3.67),B+ (3.65)
52,"Elgin, Samuel Zincke",POLI 110F - Critical Reasoning&Consumption (A),FA22,47,15,92.9%,100.0%,4.07,B+ (3.64),B+ (3.68)
53,"Forman, Fonna",POLI 117R - Bending/Curve: Climate Change (A),FA22,70,14,100.0%,100.0%,4.19,A- (3.92),A- (3.72)
54,"Ferree, Karen E",POLI 11D - Intro/Poli Sci:Compar Politics (A),FA22,136,52,100.0%,98.0%,4.81,A- (3.71),B+ (3.66)
55,"Strom, Kaare",POLI 120E - Scandinavian Politics (A),FA22,29,8,75.0%,75.0%,4.5,B (3.14),B- (2.91)
56,"Fisk, David Lee",POLI 120G - British Politics (A),FA22,137,36,97.0%,93.9%,6.14,B+ (3.61),A- (3.75)
57,"Fisk, David Lee",POLI 120H - European Integration (A),FA22,138,47,95.6%,97.8%,4.59,B+ (3.60),A- (3.76)
58,"Roeder, Philip G",POLI 12D - Intro/Poli Sci:Int'l Relations (A),FA22,134,55,98.1%,96.3%,5.34,B+ (3.56),B+ (3.32)
59,"Fisk, David Lee",POLI 135 - Comparative LGBT Politics (A),FA22,105,18,94.1%,100.0%,3.09,A- (3.76),A- (3.75)
60,"Forman, Fonna",POLI 13DR - Power and Justice (A),FA22,231,85,100.0%,100.0%,3.92,A- (3.78),A- (3.81)
61,"Willoughby, Randy K",POLI 142I - National & Internatnl Security (A),FA22,31,6,83.3%,83.3%,5.5,B+ (3.50),B- (2.98)
62,"Slantchev, Branislav",POLI 142J - National Security Strategy (A),FA22,44,8,50.0%,62.5%,7.5,C+ (2.63),B- (2.94)
63,"Gartzke, Erik","POLI 143 - Int'lConflict:Cyber,Space,UAVs (A)",FA22,99,21,90.0%,94.7%,4.7,B+ (3.68),B+ (3.55)
64,"Joseph, Michael F",POLI 149 - Spies/Intelligence/US Nat'lSec (A),FA22,235,51,96.0%,93.9%,4.58,A- (3.70),A- (3.71)
65,"Schneider, Christina",POLI 151 - International Organizations (A),FA22,155,39,91.9%,97.2%,5.58,B+ (3.67),B+ (3.55)
66,"Joseph, Michael F",POLI 178 - App.Data Analyt./ US Nat.Sec (A),FA22,60,10,62.5%,75.0%,7.17,A- (3.78),A- (3.78)
67,"Forman, Fonna",POLI 191A - Senr Hon Sem:Frontier/POLI I (A),FA22,13,6,100.0%,100.0%,8.83,A (4.00),
68,"Hoston, Germaine",POLI 191A - Senr Hon Sem:Frontier/POLI I (A),FA22,13,6,100.0%,66.7%,8.83,A (4.00),
69,"Elgin, Samuel Zincke",POLI 27 - Ethics And Society I (A),FA22,201,70,93.9%,97.0%,4.2,A- (3.80),A- (3.81)
70,"Elgin, Samuel Zincke",POLI 28 - Ethics And Society II (A),FA22,133,34,85.3%,97.1%,3.26,A- (3.73),A- (3.93)
71,"Desposato, Scott",POLI 30D - Political Inquiry (A),FA22,162,57,85.2%,92.6%,5.83,B+ (3.53),B (3.08)
72,"Seese, Michael Francis",POLI 10 - Intro/Poli Sci:Amer Politics (A),S222,46,13,92.3%,81.8%,4.5,A- (3.78),B+ (3.52)
73,"Seese, Michael Francis",POLI 10 - Intro/Poli Sci:Amer Politics (B),S222,50,19,77.8%,87.5%,4.61,B (3.18),B (3.05)
74,"Draper, Matthew William",POLI 100F - Social Networks (A),S222,49,18,33.3%,27.3%,6.5,B+ (3.33),B- (2.98)
75,"Kousser, Thad",POLI 103A - Calif Government & Politics (A),S222,45,5,100.0%,100.0%,8.1,A- (3.80),A- (3.90)
76,"Ingham, Sean",POLI 110C - Politcl Thought/Kant-Nietzsche (A),S222,16,3,66.7%,33.3%,5.83,B+ (3.33),
77,"Hoston, Germaine",POLI 113BR - Chin/Japn Political Thought I (A),S222,48,13,81.8%,90.9%,6.3,A- (3.80),A- (3.82)
78,"Forman, Fonna",POLI 117R - Bending/Curve: Climate Change (A),S222,18,8,100.0%,100.0%,4.21,A- (3.88),
79,"Ingham, Sean",POLI 118 - Game Theory/Political Science (A),S222,17,3,100.0%,100.0%,11.17,A (4.00),
80,"Strom, Kaare",POLI 120E - Scandinavian Politics (A),S222,5,3,66.7%,66.7%,6.5,B (3.00),
81,"Timmins, Graham",POLI 120G - British Politics (A),S222,29,4,100.0%,100.0%,3.5,A- (3.75),B+ (3.64)
82,"Fisk, David Lee",POLI 126AB - Politics&Econ/CntrlEast Europe (A),S222,13,3,100.0%,100.0%,9.17,B+ (3.67),
83,"Desposato, Scott",POLI 134D - Topics/Latin American Politics (A),S222,23,4,100.0%,100.0%,5.0,B+ (3.50),B (3.27)
84,"Gartzke, Erik",POLI 142A - United States Foreign Policy (A),S222,41,5,100.0%,100.0%,9.7,B+ (3.67),B (3.25)
85,"Bergman, Matthew Edward",POLI 160AA - Introduction/Policy Analysis (A),S222,34,4,75.0%,100.0%,9.0,B (3.25),C+ (2.41)
86,"Desposato, Scott",POLI 30 - Political Inquiry (A),S222,44,6,100.0%,100.0%,5.17,A- (3.83),B (3.21)
87,"Jamel Edim Falabella, Leonardo",POLI 5 - Data Analytics/Social Science (A),S222,49,43,95.2%,95.2%,5.79,A- (3.70),A- (3.83)
88,"Smith, Glenn Chatmas",POLI 104A - Supreme Court & Constitution (A),S122,21,5,100.0%,100.0%,6.9,B+ (3.50),B+ (3.43)
89,"Draper, Matthew William",POLI 104I - Law&Politcs-Crts&Poli Controv (A),S122,50,6,100.0%,100.0%,8.5,A- (3.80),B (3.24)
90,"Wiens, David",POLI 112A - Economic Theories/Pol Behavior (A),S122,29,3,66.7%,100.0%,7.17,B+ (3.67),B (3.19)
91,"Magagna, Victor Valentine",POLI 113A - E. Asia Thought/Comp Perspectv (A),S122,162,24,100.0%,100.0%,5.8,A- (3.95),A- (3.94)
92,"Forman, Fonna",POLI 117R - Bending/Curve: Climate Change (A),S122,21,3,100.0%,100.0%,4.5,A (4.00),A- (3.77)
93,"Hoffman, Geoffrey Joseph",POLI 12 - Intro/Poli Sci:Int'l Relations (A),S122,36,8,100.0%,100.0%,5.0,A (4.00),B+ (3.31)
94,"Fefer, Adam Brooks",POLI 130 - Politics of Violence (A),S122,37,5,50.0%,75.0%,7.0,A- (3.75),B+ (3.50)
95,"Forman, Fonna",POLI 13R - Power and Justice (A),S122,41,4,75.0%,75.0%,10.0,A (4.00),B+ (3.66)
96,"Draper, Matthew William",POLI 27 - Ethics And Society I (A),S122,67,5,100.0%,100.0%,3.83,A (4.00),B+ (3.58)
97,"Ban, Pamela M",POLI 100B - The U. S. Congress (A),SP22,155,45,95.5%,100.0%,3.91,A- (3.77),B+ (3.60)
98,"Galderisi, Peter",POLI 102C - American Political Development (A),SP22,64,18,92.9%,92.9%,3.36,B+ (3.31),B+ (3.40)
99,"Fletcher, Nathan",POLI 103A - Calif Government & Politics (A),SP22,143,36,96.8%,96.7%,3.98,A- (3.97),A- (3.76)
100,"Smith, Glenn Chatmas",POLI 104D - Judicial Politics (A),SP22,143,38,88.9%,91.4%,5.21,B (3.25),B (3.23)
101,"Macmanus, Maureen Danielle",POLI 104K - Legal Argument Formulation (A),SP22,29,6,50.0%,25.0%,5.3,B+ (3.40),A- (3.98)
102,"Orfield, Michael Bennett","POLI 104P - Science, Technology & the Law (A)",SP22,137,38,92.1%,92.1%,3.39,A- (3.82),A- (3.83)
103,"Macmanus, Maureen Danielle","POLI 104T - Evidence, Civil Proc&Crim Law (A)",SP22,39,5,60.0%,40.0%,4.5,A- (3.80),A- (3.84)
104,"Nichter, Maysa",POLI 104U - Introduction to Business Law (A),SP22,113,26,100.0%,100.0%,3.42,A- (3.96),B+ (3.63)
105,"Hoston, Germaine",POLI 114BR - Marxist Political Thought (A),SP22,48,13,84.6%,76.9%,5.58,B+ (3.64),B (3.20)
106,"Desposato, Scott",POLI 11D - Intro/Poli Sci:Compar Politics (A),SP22,126,66,95.5%,93.9%,3.28,B+ (3.68),B+ (3.51)
107,"Neuheiser, Joerg",POLI 120D - Germany: Division (A),SP22,44,33,97.0%,100.0%,3.89,B (3.29),B- (2.93)
108,"Fisk, David Lee",POLI 120F - Europe as a Political Model (A),SP22,65,21,100.0%,100.0%,3.5,A- (3.71),A- (3.72)
109,"Feeley, Maureen Catherine",POLI 122 - Politics of Human Rights (A),SP22,183,40,89.7%,94.9%,5.83,B+ (3.43),B (3.23)
110,"Feeley, Maureen Catherine","POLI 125 - Gender,Politics&Globalization (A)",SP22,51,13,92.3%,100.0%,4.81,A- (3.83),B+ (3.56)
111,"Gartzke, Erik",POLI 12D - Intro/Poli Sci:Int'l Relations (A),SP22,196,70,95.5%,92.4%,4.71,A- (3.73),B+ (3.66)
112,"Warren, Scott",POLI 138D - Spec Topic/Comparatve Politics (A),SP22,46,12,91.7%,100.0%,2.67,A- (3.91),A- (3.78)
113,"Gartzke, Erik",POLI 142D - Weapons of Mass Destruction (A),SP22,255,52,94.0%,96.0%,3.38,A- (3.90),B+ (3.59)
114,"Willoughby, Randy K",POLI 142I - National & Internatnl Security (A),SP22,33,6,66.7%,66.7%,7.83,B+ (3.50),B- (2.98)
