,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Willis, Jarryd Thomas",PSYC 1 - Psychology (A),SP23,388,259,98.4%,98.0%,3.35,A- (3.84),A- (3.86)
1,"Brady, Adena Schachner",PSYC 101 - Developmental Psychology (A),SP23,403,173,96.4%,97.6%,4.04,B+ (3.49),B- (2.94)
2,"Moranton, Nirelia Melbina-",PSYC 102 - Sensory Neuroscience (A),SP23,170,64,78.7%,81.7%,7.0,B (3.02),B- (2.83)
3,"Wong, Lauren Hitomi",PSYC 104 - Social Psychology (A),SP23,340,254,96.0%,97.2%,4.2,B+ (3.67),B (3.30)
4,"Lowe, Angela Beth",PSYC 105 - Cognitive Psychology (A),SP23,381,306,88.0%,92.3%,4.95,B (3.11),B (3.06)
5,"Gremel, Christina M",PSYC 106 - Behavioral Neuroscience (A),SP23,209,65,74.2%,83.9%,6.57,B- (2.85),C+ (2.31)
6,"Adrian, Julia Anna",PSYC 108 - Cognitive Neuroscience (A),SP23,213,76,89.2%,83.8%,4.83,B+ (3.40),B- (2.97)
7,"Hurwitz, Ethan Scott",PSYC 111B - Research Methods II (A),SP23,34,33,90.6%,90.6%,9.83,B+ (3.61),A- (3.73)
8,"Winkielman, Piotr",PSYC 114 - Lab/Psychophysiological Persp (A),SP23,46,12,81.8%,81.8%,2.14,B+ (3.45),B+ (3.54)
9,"Lang, Ariel",PSYC 116C - Lab/Clinical Psyc Research III (A),SP23,20,3,100.0%,100.0%,4.5,A (4.00),A- (3.92)
10,"Bajic, Daniel Andrew",PSYC 117 - Educ Research/Outreach Lab (A),SP23,21,5,100.0%,100.0%,5.3,A (4.00),A (4.00)
11,"Miller, Cory T.",PSYC 118 - Laboratory in Animal Behavior (A),SP23,49,7,100.0%,100.0%,3.5,A (4.00),B+ (3.34)
12,"Chapman, Eddie Nathaniel",PSYC 124 - Clinical Assessment/Treatment (A),SP23,464,151,95.8%,97.9%,4.06,A- (3.85),A- (3.79)
13,"Kaye, Walter H.",PSYC 134 - Eating Disorders (A),SP23,265,84,90.1%,84.8%,4.35,B+ (3.68),B+ (3.33)
14,"Willis, Jarryd Thomas",PSYC 155 - Health Psychology (A),SP23,243,185,99.5%,98.9%,3.67,A- (3.91),A- (3.87)
15,"Wixted, John T",PSYC 162 - Psychology and the Law (A),SP23,265,194,96.4%,98.4%,4.26,B+ (3.39),B- (2.83)
16,"Kaplan, Paul",PSYC 164 - Criminology (A),SP23,245,79,97.4%,96.1%,3.47,B+ (3.63),B+ (3.65)
17,"Brady, Timothy Francis",PSYC 174 - Visual Cognition (A),SP23,142,40,97.5%,100.0%,4.35,B+ (3.49),B- (2.98)
