,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Rahimi, Babak",RELI 189 - Seminar in Religion (A),SP23,15,6,80.0%,80.0%,1.83,A (4.00),
1,"Kalleres, Dayna",RELI 3 - Technoscience and Religion (A),SP23,24,4,100.0%,100.0%,1.83,A (4.00),A- (3.76)
2,"Rahimi, Babak",RELI 101 - Tools&Methods/Studyof Religion (A),WI23,28,13,100.0%,91.7%,2.5,A- (3.75),A- (3.88)
3,"Kalleres, Dayna",RELI 188 - Special Topics in Religion (A),WI23,36,6,80.0%,80.0%,5.7,B+ (3.60),A- (3.88)
4,"Kalleres, Dayna",RELI 2 - Comparative Religions (A),WI23,59,19,94.4%,83.3%,2.62,A (4.00),A (4.00)
5,"Kalleres, Dayna",RELI 1 - Introduction to Religion (A),FA22,37,11,90.9%,100.0%,2.5,B (3.20),A (4.00)
6,"Rahimi, Babak",RELI 149 - Islam in America (A),S122,40,5,100.0%,100.0%,3.7,A- (3.80),A- (3.98)
7,"Rahimi, Babak",RELI 101 - Tools&Methods/Studyof Religion (A),WI22,39,10,90.0%,90.0%,3.61,B+ (3.67),A- (3.73)
8,"Rahimi, Babak",RELI 188 - Special Topics in Religion (A),WI22,34,11,80.0%,90.0%,3.9,A- (3.90),A- (3.81)
9,"Kalleres, Dayna",RELI 1 - Introduction to Religion (A),FA21,37,18,81.3%,75.0%,2.5,A- (3.85),A- (3.74)
10,"Kalleres, Dayna",RELI 188 - Special Topics in Religion (A),FA21,38,14,100.0%,71.4%,3.5,A- (3.86),A- (3.80)
11,"Rahimi, Babak",RELI 149 - Islam in America (A),S121,32,5,100.0%,100.0%,5.7,B+ (3.60),A- (3.83)
12,"Rahimi, Babak",RELI 101 - Tools&Methods/Studyof Religion (A),SP21,45,14,85.7%,85.7%,3.73,A- (3.85),A- (3.95)
13,"Rahimi, Babak",RELI 150 - Religion and Cinema (A),SP21,46,14,92.9%,92.9%,2.96,A- (3.83),A (4.00)
14,"Kalleres, Dayna",RELI 188 - Special Topics in Religion (A),WI21,28,10,80.0%,60.0%,2.9,B+ (3.57),A- (3.78)
15,"Kalleres, Dayna",RELI 2 - Comparative Religions (A),WI21,59,28,92.6%,84.6%,3.73,A (4.00),A- (3.83)
16,"Kalleres, Dayna",RELI 1 - Introduction to Religion (A),FA20,32,11,100.0%,100.0%,2.14,B+ (3.45),B+ (3.68)
17,"Kalleres, Dayna",RELI 188 - Special Topics in Religion (A),FA20,52,20,52.9%,56.3%,4.15,B+ (3.47),B+ (3.48)
18,"Rahimi, Babak",RELI 149 - Islam in America (A),S220,33,7,100.0%,100.0%,5.7,A (4.00),A- (3.88)
