,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Borsa, Adrian Antal",SIO 10 - The Earth (A),SP23,570,178,96.0%,97.7%,2.86,B+ (3.55),B (3.29)
1,"Morzfeld, Matthias",SIO 112 - Data Science in Geophysics (A),SP23,14,13,100.0%,100.0%,3.73,A- (3.91),
2,"May, David Alexander",SIO 113 - Comp & Data Analysis in Geosci (A),SP23,32,26,96.2%,96.0%,7.58,B+ (3.38),B+ (3.40)
3,"Taylor, Jennifer Rebecca",SIO 125 - Biomechanics of Marine Life (A),SP23,33,14,92.9%,92.3%,4.21,A- (3.83),B+ (3.63)
4,"Burton, Ronald S.",SIO 127 - Marine Molecular Ecology (A),SP23,41,21,85.0%,85.0%,4.6,B+ (3.32),B (3.14)
5,"Sandwell, David T",SIO 135 - Satellite Remote Sensing (A),SP23,17,11,100.0%,100.0%,6.32,A (4.00),
6,"Bowman, Jeff Shovlowsky",SIO 136 - Marine Biology Laboratory (A),SP23,72,60,98.3%,66.1%,6.5,A- (3.70),B+ (3.66)
7,"Kacev, David",SIO 136 - Marine Biology Laboratory (A),SP23,72,60,98.3%,96.6%,6.5,A- (3.70),B+ (3.66)
8,"Wegner, Nicholas Craig",SIO 136 - Marine Biology Laboratory (A),SP23,72,60,98.3%,98.3%,6.5,A- (3.70),B+ (3.66)
9,"Kacev, David",SIO 139 - Current Research in Marine Bio (A),SP23,64,25,95.8%,95.8%,2.1,B+ (3.60),
10,"Andersson, Andreas Jerry",SIO 143 - Ocean Acidification (A),SP23,29,10,90.0%,90.0%,4.94,B+ (3.50),B (3.11)
11,"Hetherington, Elizabeth Dorsey",SIO 145 - Intro Field Method Bio Ocean (A),SP23,33,29,100.0%,96.4%,4.98,B+ (3.57),B+ (3.50)
12,"Nickels, Catherine Frances",SIO 145 - Intro Field Method Bio Ocean (A),SP23,33,14,100.0%,100.0%,5.93,B+ (3.62),B+ (3.50)
13,"Van Allen, Emily Joyce",SIO 152 - Petrology and Petrography (A),SP23,22,11,63.6%,90.9%,5.95,B+ (3.45),A- (3.73)
14,"Rivera-Collazo, Isabel C",SIO 153 - Geomorphology (A),SP23,26,12,83.3%,58.3%,2.83,B+ (3.50),B+ (3.61)
15,"Gee, Jeffrey S",SIO 16 - Geology of the National Parks (A),SP23,108,39,81.1%,91.4%,5.42,B- (2.92),C+ (2.53)
16,"Lutsko, Nicholas J.",SIO 173 - Dynamics of Atmos & Climate (A),SP23,22,11,100.0%,90.0%,5.5,A- (3.82),B+ (3.49)
17,"Xie, Shang-Ping",SIO 173 - Dynamics of Atmos & Climate (A),SP23,22,11,100.0%,90.0%,5.5,A- (3.82),B+ (3.49)
18,"Straneo, Fiammetta",SIO 176 - Observ Physical Oceanography (A),SP23,12,11,100.0%,100.0%,4.68,A- (3.73),
