,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Goldman, Harvey Stern",SOCI 100 - Classical Sociological Theory (A),SP23,70,18,77.8%,66.7%,5.39,B+ (3.56),C+ (2.39)
1,"Siciliano, Michael Louis",SOCI 104 - Fld Res:Meth/Participnt Observ (A),SP23,26,21,76.2%,76.2%,5.74,B+ (3.55),B (3.28)
2,"Rogers, Julia Ellen",SOCI 104Q - Qualitative Interviewing (A),SP23,28,9,100.0%,100.0%,5.64,B+ (3.57),A- (3.76)
3,"Jules-Rosette, Bennetta W.",SOCI 105 - Ethnographic Film: Media Meth (A),SP23,12,11,80.0%,80.0%,7.41,A- (3.82),
4,"Potiker, Spencer Louis",SOCI 108 - Survey Research Design (A),SP23,24,16,100.0%,100.0%,3.63,A- (3.81),A- (3.80)
5,"Kenworthy, Lane A.",SOCI 10R - AmSociety:SocialStruct&Culture (A),SP23,130,35,91.2%,94.1%,5.99,B (3.23),B- (2.83)
6,"Holkenbrink-Monk, Charlene",SOCI 110 - Qualitative Res/Educ Settings (A),SP23,28,10,90.0%,100.0%,5.7,B+ (3.40),B (3.28)
7,"Ribas Norris, Janet Vanesa","SOCI 111 - Local Lives, Global Problems (A)",SP23,51,19,89.5%,94.7%,3.45,A- (3.89),A- (3.73)
8,"Clarke, Sherice Nicole","SOCI 117 - Language, Culture & Education (A)",SP23,65,31,90.3%,93.3%,3.73,A- (3.79),B+ (3.47)
9,"Aragon, Maria Jose","SOCI 117 - Language, Culture & Education (B)",SP23,65,25,100.0%,100.0%,3.8,A- (3.73),B+ (3.55)
10,"Blair-Loy, Mary",SOCI 118 - Sociology of Gender (A),SP23,26,8,100.0%,100.0%,3.93,B+ (3.43),B- (2.96)
11,"Rogers, Julia Ellen",SOCI 120 - Sociology Through Literature (A),SP23,30,8,87.5%,85.7%,5.0,B+ (3.50),B+ (3.39)
12,"Siciliano, Michael Louis","SOCI 120T - Spec Top/Cult,Lang&Soc Interac (A)",SP23,14,8,100.0%,87.5%,4.25,A- (3.86),
13,"Sagnic, Sevin Gulfer",SOCI 125 - Sociology of Immigration (A),SP23,67,36,87.9%,100.0%,4.84,B+ (3.53),B+ (3.39)
14,"Calderon-Zaks, Michael Aar","SOCI 127 - Immigration, Race, & Ethnicity (A)",SP23,65,58,89.7%,86.2%,4.96,A- (3.77),A- (3.73)
15,"Pitt, Richard Norris",SOCI 130E - Sociology of Higher Education (A),SP23,34,22,100.0%,95.5%,6.14,B+ (3.45),B (3.01)
16,"Calderon-Zaks, Michael Aar",SOCI 133 - Immigration/Comparative Perspt (A),SP23,56,50,100.0%,100.0%,5.14,A- (3.88),A- (3.71)
17,"Pitt, Richard Norris",SOCI 133E - Sociology of Race & Ethnicity (A),SP23,44,33,97.0%,93.9%,4.8,B+ (3.40),B+ (3.38)
18,"Payne, Christine Anna",SOCI 135 - Medical Sociology (A),SP23,74,29,100.0%,100.0%,3.96,A- (3.96),A- (3.98)
19,"Summers, Valerie R.",SOCI 146 - Criminal Punishment (A),SP23,107,39,100.0%,97.1%,4.28,B+ (3.52),B+ (3.58)
20,"Calderon-Zaks, Michael Aar",SOCI 151 - Social Movements (A),SP23,53,48,95.8%,95.8%,5.0,A- (3.79),A- (3.81)
21,"Shmaryahu Yeshurun, Yael",SOCI 153 - Urban Sociology (A),SP23,33,20,90.0%,85.0%,2.9,A- (3.85),A- (3.89)
22,"Ostovany, Khashayar",SOCI 156 - Sociology of Religion (A),SP23,29,9,100.0%,87.5%,4.75,B+ (3.57),A- (3.78)
23,"Weinreb, Brad Allen",SOCI 159 - Spec Top/Soc/Organztns&Institn (B),SP23,15,7,100.0%,100.0%,3.07,A- (3.71),
24,"Ostovany, Khashayar",SOCI 160 - Sociology of Culture (A),SP23,15,7,80.0%,80.0%,5.7,B+ (3.67),
25,"Rogers, Julia Ellen",SOCI 162 - Popular Culture (A),SP23,52,18,100.0%,100.0%,5.03,B+ (3.36),B+ (3.33)
26,"Fitzgerald, David S",SOCI 163 - Migration and the Law (A),SP23,51,13,100.0%,100.0%,4.5,B+ (3.50),B- (3.00)
27,"Bin Khidzer, Mohammad Khamsya",SOCI 168E - Sociology of Science (A),SP23,20,9,88.9%,88.9%,4.5,B+ (3.63),B (3.25)
28,"Birberick, Brittany Celest",SOCI 172 - Films And Society (A),SP23,55,25,96.0%,96.0%,3.7,B+ (3.58),B+ (3.48)
29,"Ostovany, Khashayar",SOCI 180 - Social Movemnts&Social Protest (A),SP23,28,6,83.3%,83.3%,5.17,B+ (3.67),B+ (3.40)
30,"Birberick, Brittany Celest",SOCI 187 - African Societies Through Film (A),SP23,35,8,83.3%,100.0%,7.17,B+ (3.67),B (3.04)
31,"Kokinis, Troy Andreas",SOCI 188D - Latin Amer: Society & Politics (A),SP23,24,3,66.7%,66.7%,3.83,B+ (3.33),A- (3.74)
32,"Hellman, Jacob","SOCI 30 - Science, Technology & Society (A)",SP23,53,19,57.9%,84.2%,3.13,B+ (3.47),B- (2.84)
33,"Raudenbush, Danielle",SOCI 40 - Sociology/Health Care Issues (A),SP23,183,94,98.9%,97.8%,3.42,A- (3.72),B+ (3.55)
34,"Payne, Christine Anna",SOCI 60 - Practice of Social Research (A),SP23,126,62,100.0%,100.0%,3.2,A- (3.88),B+ (3.62)
35,"Estefan, Michel",SOCI 100 - Classical Sociological Theory (A),WI23,127,115,97.4%,100.0%,4.71,B+ (3.61),B+ (3.50)
36,"Nie, Ke",SOCI 103M - Computer Appl/Data Management (A),WI23,22,8,85.7%,85.7%,5.0,B+ (3.38),B+ (3.54)
37,"Sagnic, Sevin Gulfer",SOCI 104Q - Qualitative Interviewing (A),WI23,25,24,87.5%,87.0%,5.33,B+ (3.38),B+ (3.60)
38,"Payne, Christine Anna",SOCI 106 - Comparative&Historical Methods (A),WI23,44,13,100.0%,100.0%,6.35,B+ (3.69),B+ (3.44)
39,"Mackenna, Bernardo",SOCI 109 - Analysis of Sociological Data (A),WI23,17,9,62.5%,75.0%,3.5,C+ (2.50),
40,"Pitt, Richard Norris",SOCI 112 - Social Psychology (A),WI23,26,8,87.5%,100.0%,6.5,B+ (3.50),C+ (2.63)
41,"Rogers, Julia Ellen",SOCI 113 - Sociology of the AIDS Epidemic (A),WI23,69,44,90.9%,90.9%,4.14,B (3.25),B (3.26)
42,"Lampland, Martha",SOCI 114 - Sociology of Humor (A),WI23,68,21,80.0%,80.0%,4.1,B (3.21),B- (2.99)
43,"Lewis, Kevin Michael","SOCI 120T - Spec Top/Cult,Lang&Soc Interac (A)",WI23,56,40,97.4%,97.4%,3.01,B+ (3.64),A- (3.71)
44,"Skrentny, John David","SOCI 120T - Spec Top/Cult,Lang&Soc Interac (B)",WI23,14,8,100.0%,100.0%,5.75,A (4.00),
45,"Pardo Guerra, Juan Pablo",SOCI 121R - Economy and Society (A),WI23,77,13,92.3%,100.0%,6.19,A- (3.77),B+ (3.64)
46,"Kenworthy, Lane A.",SOCI 124 - The Good Society (A),WI23,55,13,90.9%,90.9%,4.86,B (3.27),B (3.25)
47,"Calderon-Zaks, Michael Aar",SOCI 125 - Sociology of Immigration (A),WI23,68,52,96.2%,88.5%,4.85,B+ (3.51),B+ (3.62)
48,"Pitt, Richard Norris",SOCI 129 - The Family (A),WI23,55,34,100.0%,97.1%,5.15,B+ (3.68),B (3.19)
49,"Payne, Christine Anna",SOCI 135 - Medical Sociology (A),WI23,84,32,100.0%,96.7%,5.13,A- (3.72),A- (3.71)
50,"Hellman, Jacob",SOCI 136 - Data and Society (B),WI23,39,10,88.9%,88.9%,3.7,A- (3.90),B+ (3.67)
51,"Gong, Neil M",SOCI 136F - Soc/Mental Illness/Contemp Soc (A),WI23,52,37,100.0%,100.0%,4.28,B+ (3.50),B+ (3.33)
52,"Rogers, Julia Ellen",SOCI 143 - Suicide (A),WI23,56,16,100.0%,100.0%,2.77,B+ (3.64),B+ (3.34)
53,"Payne, Christine Anna",SOCI 148 - Political Sociology (A),WI23,99,23,95.7%,100.0%,6.24,A- (3.91),B+ (3.61)
54,"Potiker, Spencer Louis",SOCI 148E - Inequality and Jobs (A),WI23,35,27,100.0%,100.0%,4.43,B+ (3.62),B+ (3.50)
55,"Calderon-Zaks, Michael Aar",SOCI 151 - Social Movements (A),WI23,84,68,83.6%,77.6%,4.23,A- (3.76),B+ (3.70)
56,"Shmaryahu Yeshurun, Yael",SOCI 153 - Urban Sociology (A),WI23,39,24,91.7%,95.7%,3.28,A- (3.81),B+ (3.49)
57,"Ostovany, Khashayar",SOCI 154 - Religious Institutions/America (A),WI23,12,10,100.0%,100.0%,7.7,B+ (3.50),
58,"Ostovany, Khashayar",SOCI 158 - Islam in the Modern World (A),WI23,36,19,94.4%,94.4%,5.94,A- (3.94),B+ (3.63)
59,"Estefan, Michel",SOCI 159 - Spec Top/Soc/Organztns&Institn (B),WI23,57,52,100.0%,100.0%,3.85,B+ (3.62),B+ (3.41)
60,"Thorpe, Charles Robert",SOCI 167 - Science and War (A),WI23,18,13,100.0%,100.0%,8.81,B+ (3.62),
61,"Thorpe, Charles Robert",SOCI 168 - Marxism (A),WI23,24,11,100.0%,100.0%,8.86,B+ (3.44),B+ (3.51)
62,"Shafir, Gershon",SOCI 168G - Populism: Then and Now (A),WI23,6,5,100.0%,100.0%,6.9,A (4.00),
63,"Navon, Daniel","SOCI 173 - Soc/Health, Illness, Medicine (A)",WI23,140,56,90.6%,94.1%,3.9,B+ (3.59),B (3.23)
64,"Patterson, Patrick H.",SOCI 174 - Human Rights I: Introduction (A),WI23,5,5,100.0%,100.0%,8.5,B+ (3.40),
65,"Calderon-Zaks, Michael Aar",SOCI 175 - Nationality and Citizenship (A),WI23,56,49,98.0%,93.9%,4.83,A- (3.76),A- (3.71)
66,"Jules-Rosette, Bennetta W.",SOCI 188E - Community&Social Change/Africa (A),WI23,26,20,80.0%,90.0%,4.1,A- (3.79),A- (3.79)
67,"Ng, Kwai",SOCI 2 - The Study of Society (A),WI23,376,143,85.1%,87.2%,3.01,B+ (3.67),B+ (3.54)
68,"Kenworthy, Lane A.",SOCI 20 - Social Change/Modern World (A),WI23,63,25,92.0%,96.0%,3.3,B+ (3.50),B+ (3.42)
69,"Skrentny, John David",SOCI 50 - Introduction to Law & Society (A),WI23,123,65,100.0%,98.4%,3.63,A- (3.71),B+ (3.67)
70,"Ribas Norris, Janet Vanesa",SOCI 60 - Practice of Social Research (A),WI23,126,56,90.7%,90.6%,4.06,A- (3.75),B+ (3.67)
71,"Lewis, Kevin Michael",SOCI 70 - Gen Soc for Pre-Med Students (A),WI23,125,80,96.2%,96.2%,2.8,A- (3.94),A- (3.77)
72,"Skrentny, John David",SOCI 1 - Introduction to Sociology (A),FA22,357,169,98.8%,99.4%,3.5,A- (3.74),A- (3.94)
73,"Estefan, Michel",SOCI 100 - Classical Sociological Theory (A),FA22,118,103,99.0%,100.0%,4.75,A- (3.73),B+ (3.59)
74,"Gong, Neil M",SOCI 104 - Fld Res:Meth/Participnt Observ (A),FA22,23,6,100.0%,100.0%,7.83,B+ (3.67),B+ (3.38)
75,"Rogers, Julia Ellen",SOCI 104Q - Qualitative Interviewing (A),FA22,19,3,100.0%,100.0%,3.83,B+ (3.33),
76,"Payne, Christine Anna",SOCI 106 - Comparative&Historical Methods (A),FA22,31,7,100.0%,100.0%,5.5,B (3.29),B+ (3.44)
77,"Binder, Amy",SOCI 110 - Qualitative Res/Educ Settings (A),FA22,24,8,100.0%,100.0%,7.5,B+ (3.38),B- (2.92)
78,"Chung, Luz Marina","SOCI 117 - Language, Culture & Education (A)",FA22,66,20,80.0%,100.0%,6.1,A- (3.90),B+ (3.57)
79,"Tirshfield, Jeffrey T","SOCI 120T - Spec Top/Cult,Lang&Soc Interac (B)",FA22,26,9,87.5%,100.0%,3.75,B (3.25),B- (2.95)
80,"Lewis, Kevin Michael",SOCI 122 - Social Networks (A),FA22,113,43,95.2%,97.6%,4.07,B+ (3.59),A- (3.97)
81,"Tirshfield, Jeffrey T",SOCI 123 - Japanese Culture Inside/Out (A),FA22,77,23,65.2%,73.9%,4.93,B+ (3.32),B (3.01)
82,"Sagnic, Sevin",SOCI 125 - Sociology of Immigration (A),FA22,115,36,97.1%,97.1%,4.67,B+ (3.61),B+ (3.47)
83,"Calderon-Zaks, Michael Aar","SOCI 127 - Immigration, Race, & Ethnicity (A)",FA22,65,52,80.8%,84.6%,4.77,B+ (3.31),
84,"Blair-Loy, Mary",SOCI 132 - Gender and Work (A),FA22,69,14,100.0%,100.0%,5.73,B+ (3.69),B (3.29)
85,"Rogers, Julia Ellen",SOCI 136F - Soc/Mental Illness/Contemp Soc (A),FA22,66,45,91.1%,77.8%,4.5,B+ (3.49),B (3.29)
86,"Navon, Daniel",SOCI 138 - Genetics and Society (A),FA22,120,36,94.3%,100.0%,4.56,A- (3.89),B+ (3.31)
87,"Gong, Neil M",SOCI 140A - Defund Police and Prisons? (A),FA22,68,22,100.0%,100.0%,3.68,A- (3.78),B- (2.87)
88,"Summers, Valerie R.",SOCI 141 - Crime And Society (A),FA22,106,23,90.9%,90.9%,3.86,B+ (3.42),B- (2.91)
89,"Rona-Tas, Akos",SOCI 165 - Predicting the Future (A),FA22,49,13,84.6%,100.0%,3.73,B+ (3.46),B+ (3.48)
90,"Hellman, Jacob",SOCI 166 - Sociology of Knowledge (A),FA22,46,26,91.3%,87.0%,5.86,B+ (3.63),B (3.18)
91,"Turner, Christena L.",SOCI 176 - Transnational Japan Research (A),FA22,40,5,100.0%,100.0%,7.3,B+ (3.40),B (3.25)
92,"Calderon-Zaks, Michael Aar",SOCI 180 - Social Movemnts&Social Protest (A),FA22,54,39,86.8%,76.3%,3.94,B+ (3.67),
93,"Potiker, Spencer Louis",SOCI 185 - Globalization & Social Develop (A),FA22,37,17,100.0%,100.0%,6.15,B+ (3.59),B (3.24)
94,"Merritt, Seth Ray","SOCI 30 - Science, Technology & Society (A)",FA22,60,15,92.9%,100.0%,3.79,A- (3.93),A- (3.80)
95,"Payne, Christine Anna",SOCI 60 - Practice of Social Research (A),FA22,123,38,97.2%,97.2%,4.94,A- (3.81),A- (3.83)
96,"Blair-Loy, Mary",SOCI 87 - Freshman Seminar (A),FA22,11,4,100.0%,100.0%,1.5,,
97,"Thorpe, Charles Robert",SOCI 1 - Introduction to Sociology (A),S222,120,54,46.2%,53.8%,6.5,B (3.20),B+ (3.30)
98,"Payne, Christine Anna",SOCI 106 - Comparative&Historical Methods (A),S222,35,6,100.0%,100.0%,5.83,A (4.00),B+ (3.57)
99,"Taskin Alp, Yasemin",SOCI 109 - Analysis of Sociological Data (A),S222,13,10,80.0%,90.0%,5.5,B+ (3.67),
100,"Pardo Guerra, Juan Pablo",SOCI 121R - Economy and Society (A),S222,49,12,83.3%,100.0%,6.86,A- (3.73),B+ (3.54)
101,"Pardo Guerra, Juan Pablo",SOCI 136 - Data and Society (A),S222,37,3,100.0%,100.0%,3.83,A (4.00),A- (3.81)
102,"Mayes, Elizabeth Carolina",SOCI 138 - Genetics and Society (A),S222,34,10,100.0%,100.0%,2.94,A- (3.78),A- (3.91)
103,"Gonzalez Paz Paredes, Camila",SOCI 145 - Violence and Society (A),S222,32,5,100.0%,100.0%,6.5,B+ (3.60),B (3.19)
104,"Ribeiro Fernandes Da Silva, Germano",SOCI 148 - Political Sociology (A),S222,8,4,100.0%,100.0%,4.5,B (3.25),
105,"Jules-Rosette, Bennetta W.",SOCI 157 - Religion/Contemporary Society (A),S222,8,7,100.0%,100.0%,5.36,B+ (3.57),
106,"Osoria, Ruby","SOCI 117 - Language, Culture & Education (A)",S122,18,6,83.3%,66.7%,5.5,A- (3.80),
107,"Blair-Loy, Mary",SOCI 118 - Sociology of Gender (A),S122,46,5,80.0%,100.0%,6.5,A (4.00),B+ (3.30)
108,"Blair-Loy, Mary",SOCI 132 - Gender and Work (A),S122,45,6,80.0%,80.0%,4.5,A- (3.75),B (3.24)
109,"Payne, Christine Anna",SOCI 135 - Medical Sociology (A),S122,30,6,100.0%,100.0%,4.83,A- (3.83),A- (3.84)
110,"Payne, Christine Anna",SOCI 160 - Sociology of Culture (A),S122,53,10,100.0%,100.0%,6.3,A- (3.90),B+ (3.60)
111,"Ribeiro Fernandes Da Silva, Germano",SOCI 188D - Latin Amer: Society & Politics (A),S122,12,6,100.0%,100.0%,5.3,B+ (3.60),
112,"Raudenbush, Danielle",SOCI 2 - The Study of Society (A),S122,64,10,100.0%,100.0%,7.25,A- (3.71),B+ (3.53)
113,"Raudenbush, Danielle",SOCI 40 - Sociology/Health Care Issues (A),S122,65,6,100.0%,100.0%,4.5,B+ (3.67),A- (3.74)
114,"Lopez Ricoy, Ana Eugenia",SOCI 60 - Practice of Social Research (A),S122,33,10,100.0%,100.0%,5.9,A- (3.80),B+ (3.48)
115,"Payne, Christine Anna",SOCI 100 - Classical Sociological Theory (A),SP22,124,32,96.7%,96.7%,5.95,B+ (3.67),B+ (3.62)
116,"Rosen, Jennifer Lindsay",SOCI 103M - Computer Appl/Data Management (A),SP22,29,10,100.0%,100.0%,4.5,A (4.00),A- (3.90)
117,"Rogers, Julia Ellen",SOCI 104Q - Qualitative Interviewing (A),SP22,19,6,66.7%,83.3%,5.5,B+ (3.67),
118,"Rosen, Jennifer Lindsay",SOCI 109 - Analysis of Sociological Data (A),SP22,29,11,100.0%,100.0%,3.95,A- (3.82),A- (3.73)
119,"Lopez Ricoy, Ana Eugenia",SOCI 109M - Research Reporting (A),SP22,29,7,100.0%,100.0%,7.64,A- (3.86),A- (3.99)
120,"Kenworthy, Lane A.",SOCI 10R - AmSociety:SocialStruct&Culture (A),SP22,61,20,85.0%,90.0%,4.8,B+ (3.53),B (3.12)
121,"Taskin Alp, Yasemin",SOCI 110 - Qualitative Res/Educ Settings (A),SP22,16,10,80.0%,90.0%,4.9,B+ (3.56),
122,"Pitt, Richard Norris",SOCI 112 - Social Psychology (A),SP22,70,62,96.8%,100.0%,4.98,B+ (3.52),B (3.07)
