,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Atkinson, Arthur Laird",SYN 1 - Perspectives/Changing Planet (0),SP23,60,29,85.7%,96.3%,3.43,A- (3.93),A- (3.79)
1,"Brink, Claudi",SYN 1 - Perspectives/Changing Planet (0),SP23,60,24,100.0%,95.7%,4.08,A- (3.92),A- (3.85)
2,"Browne, Emily",SYN 1 - Perspectives/Changing Planet (0),SP23,60,56,92.9%,100.0%,3.57,A- (3.89),A- (3.82)
3,"Deavenport, James Cary",SYN 1 - Perspectives/Changing Planet (0),SP23,61,28,96.2%,96.2%,3.58,A- (3.96),A- (3.99)
4,"Gladstein, Jill M",SYN 1 - Perspectives/Changing Planet (0),SP23,29,17,100.0%,100.0%,3.25,A (4.00),A- (3.98)
5,"Iatarola, Briana Marie",SYN 1 - Perspectives/Changing Planet (0),SP23,60,37,80.0%,100.0%,3.06,A- (3.97),A- (4.00)
6,"Leclerc, Maria Teresa",SYN 1 - Perspectives/Changing Planet (0),SP23,39,18,83.3%,100.0%,3.39,A- (3.94),A- (3.94)
7,"Murdock, Shawn Christian",SYN 1 - Perspectives/Changing Planet (0),SP23,59,19,89.5%,94.7%,3.13,A- (3.89),A- (3.79)
8,"Tawater, Hanna Jean",SYN 1 - Perspectives/Changing Planet (0),SP23,59,51,92.2%,98.0%,3.95,A- (3.92),A- (3.94)
9,"Vega, Adrian",SYN 1 - Perspectives/Changing Planet (0),SP23,59,27,73.1%,84.6%,3.35,A- (3.85),A- (3.85)
10,"Leclerc, Maria Teresa",SYN 100 - Solutions/Changing Planet (C),SP23,28,10,100.0%,100.0%,3.9,A (4.00),A- (3.96)
11,"Meyer, Leslie Rose",SYN 100 - Solutions/Changing Planet (G),SP23,30,13,92.3%,92.3%,5.27,A (4.00),A (4.00)
12,"Smith, Neil Gordon",SYN 100 - Solutions/Changing Planet (H),SP23,30,12,91.7%,91.7%,5.17,A- (3.92),A- (3.99)
13,"Stone, Patricia",SYN 100 - Solutions/Changing Planet (I),SP23,30,8,100.0%,100.0%,4.75,A- (3.88),A- (3.97)
14,"Atkinson, Arthur Laird",SYN 1 - Perspectives/Changing Planet (0),WI23,40,19,94.4%,100.0%,3.5,A (4.00),A- (3.74)
15,"Brink, Claudi",SYN 1 - Perspectives/Changing Planet (0),WI23,20,6,50.0%,100.0%,2.5,A (4.00),A- (3.91)
16,"Browne, Emily",SYN 1 - Perspectives/Changing Planet (0),WI23,20,9,88.9%,88.9%,4.28,A- (3.89),A- (3.87)
17,"Deavenport, James Cary",SYN 1 - Perspectives/Changing Planet (0),WI23,22,8,87.5%,100.0%,4.5,A- (3.88),A- (3.76)
18,"Gladstein, Jill M",SYN 1 - Perspectives/Changing Planet (0),WI23,60,37,94.4%,100.0%,4.06,A- (3.97),A- (3.84)
19,"Iatarola, Briana Marie",SYN 1 - Perspectives/Changing Planet (0),WI23,20,10,100.0%,100.0%,3.9,A (4.00),A- (3.96)
