,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Walsh, Kim C.",TDAC 1 - Introduction to Acting (A),SP23,20,11,100.0%,100.0%,2.1,A (4.00),A- (3.88)
1,"Walsh, Kim C.",TDAC 1 - Introduction to Acting (B),SP23,19,12,100.0%,90.0%,4.5,A- (3.88),
2,"Walsh, Kim C.",TDAC 1 - Introduction to Acting (C),SP23,20,7,100.0%,100.0%,1.83,A- (3.75),A- (3.73)
3,"Walsh, Kim C.",TDAC 1 - Introduction to Acting (D),SP23,19,3,100.0%,100.0%,3.5,A (4.00),
4,"Walsh, Kim C.",TDAC 1 - Introduction to Acting (E),SP23,22,6,100.0%,100.0%,2.9,A (4.00),A- (3.82)
5,"Walsh, Kim C.",TDAC 1 - Introduction to Acting (F),SP23,22,8,100.0%,100.0%,2.21,A (4.00),A- (3.99)
6,"Walsh, Kim C.",TDAC 1 - Introduction to Acting (G),SP23,21,7,100.0%,100.0%,2.21,A (4.00),A- (3.81)
7,"Walsh, Kim C.",TDAC 1 - Introduction to Acting (H),SP23,24,11,100.0%,100.0%,3.1,A (4.00),A (4.00)
8,"Walsh, Kim C.",TDAC 1 - Introduction to Acting (I),SP23,20,9,100.0%,100.0%,2.28,A (4.00),A- (3.90)
9,"Walsh, Kim C.",TDAC 1 - Introduction to Acting (J),SP23,19,8,100.0%,85.7%,3.36,A (4.00),
10,"Harting, Carla Kelso",TDAC 101 - Acting I (A),SP23,22,6,100.0%,100.0%,3.3,A (4.00),B+ (3.63)
11,"Walsh, Kim C.",TDAC 101 - Acting I (B),SP23,18,6,83.3%,83.3%,2.17,A (4.00),
12,"Barnes, Eva E",TDAC 102 - Acting II (B),SP23,20,8,87.5%,87.5%,3.75,A (4.00),A (4.00)
13,"Barricelli, Marc Alexander",TDAC 105 - Rehearsing Shakespeare (A),SP23,20,3,100.0%,100.0%,4.5,B+ (3.67),A- (3.89)
14,"Buescher, Stephen W.",TDAC 108 - Advanced Topics (B),SP23,19,14,100.0%,100.0%,1.07,A (4.00),
