,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Dolan, Judith A.",TDDE 111 - Theatre Process - Costumes (A),SP23,21,6,100.0%,100.0%,3.83,A- (3.80),B+ (3.55)
1,"Guirguis, Mark C",TDDE 130 - Assistant Designer (A),SP23,13,4,100.0%,100.0%,7.0,A (4.00),
2,"Guirguis, Mark C",TDDE 1 - Intro/Design for the Theatre (A),WI23,77,34,90.6%,90.6%,3.92,A- (3.83),B+ (3.40)
3,"Guirguis, Mark C",TDDE 101 - Theatre Process-Scenic Design (A),WI23,19,8,100.0%,100.0%,5.0,A- (3.75),
4,"Kuhl, Christopher August",TDDE 121 - Theatre Process - Lighting (A),WI23,16,3,33.3%,33.3%,4.5,B+ (3.67),
5,"McElver, Robert Harrison",TDDE 141 - Theatre Process-Sound Design (A),WI23,16,10,100.0%,100.0%,4.9,A- (3.90),
6,"Benzoni, Elisa",TDDE 1 - Intro/Design for the Theatre (A),FA22,87,27,63.0%,81.5%,4.72,B+ (3.69),B (3.22)
7,"Petrovich, Victoria A.",TDDE 169A - Digital Rendering/Theater I (A),FA22,20,5,100.0%,100.0%,4.5,A (4.00),A- (3.70)
8,"Guirguis, Mark C",TDDE 131GS - Spec Topics in Theatre Design (A),S122,14,5,100.0%,100.0%,4.1,A- (3.75),
9,"Dolan, Judith A.",TDDE 112 - Advanced Costume Design (A),SP22,17,4,100.0%,100.0%,5.0,A (4.00),
10,"Guirguis, Mark C",TDDE 1 - Intro/Design for the Theatre (A),WI22,80,33,87.5%,93.8%,3.06,A- (3.83),B+ (3.54)
11,"Guirguis, Mark C",TDDE 101 - Theatre Process-Scenic Design (A),WI22,20,5,100.0%,100.0%,4.9,A- (3.80),A- (3.75)
12,"Kuhl, Christopher August",TDDE 121 - Theatre Process - Lighting (A),WI22,12,4,100.0%,100.0%,6.5,A- (3.75),
13,"McElver, Robert Harrison",TDDE 141 - Theatre Process-Sound Design (A),WI22,16,13,100.0%,100.0%,5.73,B+ (3.69),
14,"Guirguis, Mark C",TDDE 1 - Intro/Design for the Theatre (A),FA21,101,47,80.4%,89.1%,4.28,B+ (3.69),B+ (3.33)
15,"Guirguis, Mark C",TDDE 130 - Assistant Designer (A),FA21,10,3,100.0%,100.0%,8.5,A (4.00),
16,"Guirguis, Mark C",TDDE 131 - Spec Topics in Theatre Design (A),FA21,13,5,100.0%,100.0%,3.7,A- (3.80),
17,"Petrovich, Victoria A.",TDDE 151 - Digital Video Design (A),FA21,16,5,100.0%,100.0%,3.3,A (4.00),
18,"Kuhl, Christopher August",TDDE 121 - Theatre Process - Lighting (B),SP21,11,7,100.0%,100.0%,7.36,A- (3.71),
19,"Guirguis, Mark C",TDDE 1 - Intro/Design for the Theatre (A),WI21,79,36,91.4%,100.0%,3.64,A- (3.84),A- (3.85)
20,"Guirguis, Mark C",TDDE 101 - Theatre Process-Scenic Design (A),WI21,11,4,100.0%,100.0%,3.5,A- (3.75),
21,"McElver, Robert Harrison",TDDE 141 - Theatre Process-Sound Design (A),WI21,12,9,100.0%,100.0%,6.0,A- (3.88),
22,"Petrovich, Victoria A.",TDDE 151 - Digital Video Design (B),WI21,8,3,100.0%,66.7%,3.17,A (4.00),
23,"Guirguis, Mark C",TDDE 1 - Intro/Design for the Theatre (A),FA20,93,48,93.5%,97.8%,3.35,A- (3.86),B+ (3.62)
24,"Guirguis, Mark C",TDDE 131 - Spec Topics in Theatre Design (A),FA20,9,3,100.0%,100.0%,4.5,B+ (3.67),
25,"Guirguis, Mark C",TDDE 1 - Intro/Design for the Theatre (A),S220,15,3,66.7%,33.3%,3.83,B+ (3.50),
26,"Doyle, Michael E.",TDDE 131 - Spec Topics in Theatre Design (A),S120,9,3,100.0%,100.0%,3.17,B+ (3.67),
27,"Benzoni, Elisa",TDDE 111 - Theatre Process - Costumes (A),SP20,17,5,80.0%,80.0%,6.9,A (4.00),
28,"Cole, Melanie Chen",TDDE 141 - Theatre Process-Sound Design (A),SP20,16,9,100.0%,100.0%,3.61,A- (3.89),
29,"Guirguis, Mark C",TDDE 1 - Intro/Design for the Theatre (A),WI20,61,26,87.5%,95.8%,6.42,B+ (3.54),B+ (3.42)
30,"Guirguis, Mark C",TDDE 101 - Theatre Process-Scenic Design (A),WI20,15,3,100.0%,100.0%,5.17,B+ (3.67),
31,"Rynne, Christopher Stephan",TDDE 121 - Theatre Process - Lighting (A),WI20,17,5,100.0%,80.0%,5.3,A- (3.80),
32,"Petrovich, Victoria A.",TDDE 151 - Digital Video Design (A),WI20,19,7,100.0%,100.0%,2.79,A- (3.86),
33,"Guirguis, Mark C",TDDE 1 - Intro/Design for the Theatre (A),FA19,94,43,87.5%,97.5%,6.11,B+ (3.69),B+ (3.47)
34,"Guirguis, Mark C",TDDE 131 - Spec Topics in Theatre Design (A),FA19,17,8,100.0%,100.0%,4.5,B+ (3.60),
35,"Guirguis, Mark C",TDDE 1 - Intro/Design for the Theatre (A),S219,18,9,88.9%,100.0%,7.17,B+ (3.33),
36,"Guirguis, Mark C",TDDE 131GS - Spec Topics in Theatre Design (A),S119,12,5,100.0%,100.0%,5.7,A- (3.80),
37,"Petrovich, Victoria A.",TDDE 169A - Digital Rendering/Theater I (A),S119,15,13,100.0%,100.0%,5.12,A- (3.92),
38,"Guirguis, Mark C",TDDE 1 - Intro/Design for the Theatre (A),WI19,78,43,82.9%,97.4%,5.52,B+ (3.62),B+ (3.44)
39,"Guirguis, Mark C",TDDE 101 - Theatre Process-Scenic Design (A),WI19,17,3,100.0%,100.0%,5.17,A (4.00),
40,"Burrett, Alan",TDDE 121 - Theatre Process - Lighting (A),WI19,14,6,100.0%,100.0%,3.7,A (4.00),
41,"Guirguis, Mark C",TDDE 130 - Assistant Designer (A),WI19,4,3,100.0%,100.0%,9.17,A (4.00),
42,"Cole, Melanie Chen",TDDE 141 - Theatre Process-Sound Design (A),WI19,19,9,100.0%,100.0%,4.72,A (4.00),
43,"Petrovich, Victoria A.",TDDE 151 - Digital Video Design (A),WI19,19,13,84.6%,100.0%,5.58,A- (3.83),
44,"Guirguis, Mark C",TDDE 1 - Intro/Design for the Theatre (A),FA18,88,42,71.8%,100.0%,5.53,B+ (3.59),B+ (3.53)
45,"Dolan, Judith A.",TDDE 112 - Advanced Costume Design (A),FA18,10,5,100.0%,100.0%,5.0,A (4.00),
46,"Guirguis, Mark C",TDDE 131 - Spec Topics in Theatre Design (A),FA18,7,3,100.0%,100.0%,4.5,A (4.00),
47,"Guirguis, Mark C",TDDE 1 - Intro/Design for the Theatre (A),S218,14,5,100.0%,100.0%,2.5,A- (3.80),
48,"Guirguis, Mark C",TDDE 101 - Theatre Process-Scenic Design (A),SP18,17,6,100.0%,100.0%,5.17,A (4.00),
49,"Benzoni, Elisa",TDDE 111 - Theatre Process - Costumes (A),SP18,19,3,100.0%,100.0%,8.5,B+ (3.67),
50,"Guirguis, Mark C",TDDE 1 - Intro/Design for the Theatre (A),WI18,72,26,92.0%,100.0%,5.78,B+ (3.67),B+ (3.65)
