,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Snaith, Yolande",TDDM 101 - Dance Making 2 (A),SP23,16,4,75.0%,75.0%,1.5,A (4.00),
1,"Smith, Alison D",TDDM 100 - Dance Making 1 (A),WI23,19,5,80.0%,100.0%,1.7,A (4.00),
2,"Snaith, Yolande",TDDM 1 - Introduction to Dance Making (A),FA22,30,17,94.1%,93.8%,1.79,A (4.00),A- (3.94)
3,"Smith, Alison D",TDDM 5 - Site Specific Dance & Perform (A),FA22,30,11,100.0%,100.0%,2.14,A (4.00),A (4.00)
4,"Cisneros, Melissa",TDDM 1 - Introduction to Dance Making (A),S122,17,6,50.0%,50.0%,0.5,A (4.00),
5,"Snaith, Yolande",TDDM 101 - Dance Making 2 (A),SP22,19,3,100.0%,100.0%,1.5,A (4.00),
6,"Smith, Alison D",TDDM 5 - Site Specific Dance & Perform (A),SP22,30,8,100.0%,87.5%,1.75,A- (3.86),A- (3.88)
7,"Snaith, Yolande",TDDM 100 - Dance Making 1 (A),WI22,17,5,100.0%,100.0%,1.5,A (4.00),
8,"Snaith, Yolande",TDDM 1 - Introduction to Dance Making (A),FA21,33,14,100.0%,100.0%,1.64,A (4.00),A- (3.99)
9,"Gutierrez, Miguel",TDDM 101 - Dance Making 2 (A),SP21,15,5,100.0%,100.0%,3.5,A- (3.75),
10,"Geiger, Eric",TDDM 100 - Dance Making 1 (A),WI21,23,13,92.3%,91.7%,2.5,A (4.00),A (4.00)
11,"Clancy, Liam",TDDM 1 - Introduction to Dance Making (A),FA20,31,15,93.3%,100.0%,1.3,A (4.00),A (4.00)
12,"Smith, Alison D",TDDM 5 - Site Specific Dance & Perform (A),FA20,16,8,100.0%,100.0%,2.25,A- (3.88),
13,"Snaith, Yolande",TDDM 101 - Dance Making 2 (A),SP20,17,8,87.5%,87.5%,3.0,A- (3.88),
14,"Geiger, Eric",TDDM 1 - Introduction to Dance Making (A),WI20,27,8,85.7%,100.0%,0.75,A- (3.88),A- (3.99)
15,"Rincon, Patricia A.",TDDM 100 - Dance Making 1 (A),WI20,28,14,92.3%,76.9%,1.79,A- (3.86),A (4.00)
16,"Clancy, Liam",TDDM 1 - Introduction to Dance Making (A),FA19,30,30,100.0%,100.0%,1.23,A- (3.93),A (4.00)
17,"Clancy, Liam",TDDM 101 - Dance Making 2 (A),SP19,15,7,100.0%,100.0%,0.5,A (4.00),
18,"Smith, Alison D",TDDM 5 - Site Specific Dance & Perform (A),SP19,31,11,100.0%,100.0%,0.9,A- (3.90),A- (3.93)
19,"Smith, Alison D",TDDM 1 - Introduction to Dance Making (A),FA18,27,14,100.0%,100.0%,3.0,A (4.00),A- (3.94)
20,"Geiger, Eric",TDDM 101 - Dance Making 2 (A),SP18,18,6,100.0%,100.0%,0.5,A (4.00),
21,"Snaith, Yolande",TDDM 100 - Dance Making 1 (A),WI18,15,8,71.4%,71.4%,4.25,A- (3.88),
22,"Clancy, Liam",TDDM 1 - Introduction to Dance Making (A),FA17,27,14,100.0%,100.0%,1.36,A- (3.79),A- (3.99)
