,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Powell, Lora",TDDR 101 - Stage Management (A),SP23,42,18,94.1%,100.0%,2.26,A- (3.94),B+ (3.58)
1,"Stalling, Vanessa",TDDR 108 - Text Analysis/Actors&Directors (A),SP23,20,3,100.0%,66.7%,4.5,A (4.00),B (3.12)
2,"Castro, Robert Jess",TDDR 111 - Directing - Acting Process (B),SP23,15,4,100.0%,100.0%,9.17,A (4.00),
3,"Powell, Lora",TDDR 191 - Major Project in Stage Mngmt (B),SP23,4,3,100.0%,100.0%,12.5,A (4.00),
4,"Powell, Lora",TDDR 102 - Advanced Stage Management (A),WI23,18,14,100.0%,100.0%,3.93,A (4.00),
5,"Powell, Lora",TDDR 101 - Stage Management (A),FA22,37,4,100.0%,100.0%,3.0,B+ (3.50),A- (3.74)
6,"Stalling, Vanessa",TDDR 111 - Directing - Acting Process (A),FA22,28,3,100.0%,100.0%,4.5,A (4.00),A- (3.84)
7,"Powell, Lora",TDDR 101 - Stage Management (A),SP22,27,14,100.0%,100.0%,2.67,A- (3.73),B+ (3.63)
8,"Castro, Robert Jess",TDDR 111 - Directing - Acting Process (B),SP22,15,4,100.0%,100.0%,5.83,A (4.00),
9,"Powell, Lora",TDDR 191 - Major Project in Stage Mngmt (A),SP22,5,4,100.0%,100.0%,4.5,B+ (3.67),
10,"Powell, Lora",TDDR 102 - Advanced Stage Management (A),WI22,14,9,100.0%,100.0%,4.5,B+ (3.67),
11,"Powell, Lora",TDDR 101 - Stage Management (A),FA21,47,17,100.0%,100.0%,2.38,A- (3.93),B+ (3.64)
12,"Stalling, Vanessa",TDDR 108 - Text Analysis/Actors&Directors (A),FA21,20,7,100.0%,100.0%,5.7,A (4.00),A- (3.86)
13,"Castro, Robert Jess",TDDR 111 - Directing - Acting Process (A),FA21,19,9,55.6%,66.7%,3.17,A (4.00),
14,"Powell, Lora",TDDR 101 - Stage Management (A),SP21,43,17,100.0%,100.0%,4.13,A- (3.94),A- (3.86)
15,"Castro, Robert Jess",TDDR 111 - Directing - Acting Process (C),SP21,12,7,100.0%,100.0%,5.17,B+ (3.50),
16,"Powell, Lora",TDDR 101 - Stage Management (A),WI21,40,30,93.3%,100.0%,4.5,A- (3.93),A- (3.78)
17,"Powell, Lora",TDDR 191 - Major Project in Stage Mngmt (A),WI21,10,7,100.0%,100.0%,3.64,A (4.00),
18,"Powell, Lora",TDDR 101 - Stage Management (A),FA20,48,29,100.0%,100.0%,4.16,A- (3.83),B+ (3.65)
19,"Stalling, Vanessa",TDDR 108 - Text Analysis/Actors&Directors (B),FA20,20,7,100.0%,100.0%,5.64,A (4.00),B+ (3.51)
20,"Powell, Lora",TDDR 101 - Stage Management (A),SP20,46,22,95.5%,100.0%,3.77,A- (3.91),A- (3.89)
21,"Stalling, Vanessa",TDDR 108 - Text Analysis/Actors&Directors (A),SP20,23,6,100.0%,100.0%,4.83,B+ (3.67),A (4.00)
22,"Castro, Robert Jess",TDDR 111 - Directing - Acting Process (A),SP20,22,5,100.0%,100.0%,4.9,A (4.00),A (4.00)
23,"Powell, Lora",TDDR 101 - Stage Management (A),FA19,31,22,90.9%,100.0%,3.05,A- (3.82),B+ (3.58)
