,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Salovey, Todd",TDGE 1 - Introduction to Theatre (A),SP23,117,41,97.4%,97.4%,2.86,A- (3.83),B+ (3.66)
1,"Leadbetter, Kristin",TDGE 10 - Theatre and Film (A),SP23,200,76,97.3%,97.3%,1.88,A- (3.80),B+ (3.60)
2,"Salovey, Todd","TDGE 100 - Creating the Role of ""Leader"" (A)",SP23,49,12,100.0%,100.0%,4.3,A (4.00),A- (3.89)
3,"Fulton, Julia",TDGE 124 - Cult Films: Weirdly Dramatic (A),SP23,239,82,100.0%,100.0%,2.07,A- (3.88),A- (3.86)
4,"Havis, Allan",TDGE 125 - Topics in Theatre and Film (A),SP23,188,64,96.7%,96.6%,2.06,A- (3.79),B+ (3.69)
5,"Salimi, Rana",TDGE 125 - Topics in Theatre and Film (B),SP23,48,16,87.5%,87.5%,2.75,A- (3.75),B (3.29)
6,"Brill, Robert L.",TDGE 133 - Visual Ideas (A),SP23,17,12,90.9%,90.9%,2.68,A- (3.90),
7,"Harting, Carla Kelso",TDGE 25 - Public Speaking (A),SP23,17,9,100.0%,83.3%,3.36,A- (3.86),
8,"Harting, Carla Kelso",TDGE 25 - Public Speaking (B),SP23,18,3,100.0%,100.0%,3.83,A (4.00),
9,"Harting, Carla Kelso",TDGE 25 - Public Speaking (C),SP23,19,12,100.0%,100.0%,3.95,A- (3.80),
10,"Harting, Carla Kelso",TDGE 25 - Public Speaking (E),SP23,18,9,100.0%,100.0%,2.5,A- (3.86),
11,"Rubinstein, Kim",TDGE 87 - First-year Seminar (A),SP23,9,3,33.3%,66.7%,1.17,A (4.00),
12,"Salovey, Todd",TDGE 1 - Introduction to Theatre (A),WI23,113,55,98.1%,96.3%,2.87,A- (3.83),A- (3.78)
13,"Fulton, Julia",TDGE 11 - Great Performances on Film (A),WI23,215,95,100.0%,100.0%,1.83,A- (3.82),B+ (3.67)
14,"Havis, Allan",TDGE 124 - Cult Films: Weirdly Dramatic (A),WI23,195,66,95.4%,98.5%,2.35,A- (3.80),B+ (3.66)
15,"Harting, Carla Kelso",TDGE 25 - Public Speaking (B),WI23,20,9,88.9%,100.0%,3.17,A (4.00),A- (3.84)
16,"Harting, Carla Kelso",TDGE 25 - Public Speaking (C),WI23,20,10,100.0%,100.0%,4.3,A (4.00),A- (3.82)
17,"Harting, Carla Kelso",TDGE 25 - Public Speaking (D),WI23,20,7,100.0%,100.0%,2.5,A (4.00),A- (3.84)
