,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Power, Jade Yukana",TDHT 10 - Introduction to Play Analysis (A),SP23,12,3,100.0%,100.0%,3.17,B+ (3.67),
1,"Power, Jade Yukana",TDHT 10 - Introduction to Play Analysis (B),SP23,14,5,75.0%,75.0%,2.5,A- (3.80),
2,"Yapp, Hentyle T",TDHT 103 - Asian American Theatre (A),SP23,27,23,100.0%,100.0%,3.28,A- (3.96),A (4.00)
3,"Basso, Beatrice",TDHT 104 - Italian Comedy (A),SP23,25,5,100.0%,100.0%,4.5,A (4.00),A (4.00)
4,"Perry, Lamar",TDHT 115 - History & Theory of Directing (A),SP23,18,13,100.0%,100.0%,5.5,B+ (3.50),
5,"Burelle, Julie Sara Veronique",TDHT 120 - Indigenous Theatre and Perform (A),SP23,34,6,100.0%,100.0%,2.5,A- (3.83),B+ (3.51)
6,"Burelle, Julie Sara Veronique",TDHT 23 - Twentieth-Century Theatre (A),SP23,71,20,94.4%,100.0%,3.13,B+ (3.61),B (3.26)
7,"Power, Jade Yukana",TDHT 10 - Introduction to Play Analysis (A),WI23,17,10,100.0%,100.0%,2.5,A- (3.80),
8,"Power, Jade Yukana",TDHT 10 - Introduction to Play Analysis (B),WI23,15,4,75.0%,100.0%,6.0,B- (2.75),
9,"Salimi, Rana",TDHT 101 - Topics: Lit & Theatre History (A),WI23,27,8,42.9%,42.9%,3.75,B+ (3.63),B+ (3.62)
10,"Power, Jade Yukana",TDHT 111 - Latinx Theatre and Performance (A),WI23,38,15,100.0%,93.3%,3.57,B+ (3.64),B+ (3.37)
11,"Williams, Madison Mae",TDHT 115 - History & Theory of Directing (A),WI23,23,9,87.5%,100.0%,5.25,B+ (3.50),B+ (3.56)
12,"Yapp, Hentyle T",TDHT 22 - Theatre 1500-1900 (A),WI23,72,38,97.3%,100.0%,3.18,A- (3.78),A- (3.92)
13,"Power, Jade Yukana",TDHT 10 - Introduction to Play Analysis (A),FA22,16,6,83.3%,100.0%,2.83,A (4.00),
14,"Power, Jade Yukana",TDHT 10 - Introduction to Play Analysis (B),FA22,14,6,83.3%,83.3%,3.17,B (3.17),
15,"Burelle, Julie Sara Veronique",TDHT 101 - Topics: Lit & Theatre History (A),FA22,30,11,100.0%,100.0%,5.41,B+ (3.50),B (3.22)
16,"Williams, Madison Mae",TDHT 114 - American Musical Theatre (A),FA22,48,5,100.0%,100.0%,2.9,B+ (3.50),A- (3.85)
17,"Burelle, Julie Sara Veronique",TDHT 119 - Production Dramaturgy (A),FA22,21,5,60.0%,80.0%,5.7,B (3.20),B+ (3.49)
18,"Power, Jade Yukana",TDHT 21 - Ancient and Medieval Theatre (A),FA22,74,20,73.7%,94.7%,5.1,B+ (3.56),B+ (3.34)
19,"Adler, Steven",TDHT 102 - Masters in Theatre (A),S222,18,4,100.0%,100.0%,3.0,B+ (3.50),
20,"Adler, Steven",TDHT 114 - American Musical Theatre (A),S122,23,8,87.5%,75.0%,3.75,A- (3.75),B (3.20)
21,"Power, Jade Yukana",TDHT 10 - Introduction to Play Analysis (A),SP22,14,5,100.0%,100.0%,4.5,A (4.00),
22,"Power, Jade Yukana",TDHT 10 - Introduction to Play Analysis (B),SP22,16,7,100.0%,100.0%,3.17,B+ (3.40),
23,"Urban, Alison Diana",TDHT 101 - Topics: Lit & Theatre History (A),SP22,24,9,100.0%,100.0%,3.39,A- (3.78),B+ (3.56)
24,"Power, Jade Yukana",TDHT 101 - Topics: Lit & Theatre History (B),SP22,33,13,92.3%,92.3%,4.5,B+ (3.62),A- (3.76)
25,"Burelle, Julie Sara Veronique",TDHT 23 - Twentieth-Century Theatre (A),SP22,72,17,93.3%,93.3%,3.03,B+ (3.40),B (3.19)
