,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Caligagan, Maria T.",TDMV 1 - Beginning Ballet (A),SP23,31,14,100.0%,100.0%,0.93,A (4.00),A- (3.98)
1,"Caligagan, Maria T.",TDMV 1 - Beginning Ballet (B),SP23,36,18,100.0%,100.0%,1.0,A- (3.92),A- (3.92)
2,"Smith, Alison D",TDMV 110 - Intermediate Ballet (A),SP23,27,11,100.0%,100.0%,2.32,A (4.00),A- (3.82)
3,"Rincon, Patricia A.",TDMV 120 - Intermediate Contemp Dance (A),SP23,27,6,100.0%,60.0%,1.7,A (4.00),A (4.00)
4,"Weinberg, Sadie",TDMV 122 - Advanced Contemporary Dance (A),SP23,28,13,92.3%,92.3%,1.12,A- (3.92),B+ (3.66)
5,"Rincon, Alicia",TDMV 130 - Intermediate Jazz (A),SP23,19,6,100.0%,100.0%,1.5,A (4.00),
6,"Alvarez, Ana Maria",TDMV 141 - Adv Dances of the World (A),SP23,15,6,100.0%,100.0%,2.5,A (4.00),
7,"Caligagan, Tony",TDMV 142 - Latin Dance of the World (A),SP23,43,10,100.0%,100.0%,2.5,A- (3.88),A (4.00)
8,"Caligagan, Maria T.",TDMV 142 - Latin Dance of the World (B),SP23,33,15,100.0%,100.0%,4.21,A- (3.92),A- (3.95)
9,"Foster-King, Sandra",TDMV 143 - West African Dance (A),SP23,58,9,100.0%,88.9%,2.72,A- (3.89),
10,"Caligagan, Tony",TDMV 146 - Intermediate Latin Dance (A),SP23,36,9,100.0%,100.0%,3.17,A (4.00),A- (3.95)
11,"Jun, Grace Shin Hae",TDMV 148 - Intermediate Hip Hop (A),SP23,52,16,100.0%,100.0%,3.5,A (4.00),A- (3.87)
12,"Wilson, Terry A.",TDMV 2 - Beginning Contemporary Dance (A),SP23,30,9,100.0%,87.5%,1.0,A (4.00),A- (3.74)
13,"Duran, Marcos Antonio",TDMV 2 - Beginning Contemporary Dance (B),SP23,34,13,100.0%,100.0%,2.67,A (4.00),A- (3.88)
14,"Alvarez, Ana Maria",TDMV 20 - Movement Lab (A),SP23,38,6,83.3%,100.0%,2.17,A (4.00),A- (3.82)
15,"Arcidiacono, Kristin",TDMV 3 - Beginning Jazz (A),SP23,32,12,100.0%,100.0%,1.5,A- (3.82),A- (3.77)
16,"Caligagan, Maria T.",TDMV 1 - Beginning Ballet (A),WI23,29,12,100.0%,100.0%,2.33,A- (3.83),A- (3.91)
17,"Caligagan, Maria T.",TDMV 1 - Beginning Ballet (B),WI23,25,15,100.0%,100.0%,1.83,A (4.00),A- (3.89)
18,"Arcidiacono, Kristin",TDMV 11 - Theatrical Tap (A),WI23,29,11,100.0%,100.0%,1.59,B+ (3.60),B+ (3.56)
19,"Smith, Alison D",TDMV 110 - Intermediate Ballet (A),WI23,20,6,100.0%,100.0%,3.83,A (4.00),A- (3.94)
20,"Caligagan, Maria T.",TDMV 110 - Intermediate Ballet (B),WI23,29,16,100.0%,100.0%,2.38,A (4.00),A- (3.96)
21,"Weinberg, Sadie",TDMV 111 - Advanced Ballet (A),WI23,16,5,100.0%,100.0%,0.9,A- (3.80),
22,"Duran, Marcos Antonio",TDMV 120 - Intermediate Contemp Dance (A),WI23,20,8,100.0%,100.0%,2.25,A (4.00),A- (3.95)
23,"Duran, Marcos Antonio",TDMV 122 - Advanced Contemporary Dance (A),WI23,19,7,100.0%,100.0%,1.36,A (4.00),
24,"Rincon, Alicia",TDMV 130 - Intermediate Jazz (A),WI23,27,8,100.0%,100.0%,2.25,A (4.00),A (4.00)
25,"Jun, Grace Shin Hae",TDMV 138 - Beginning Hip Hop (A),WI23,54,14,100.0%,100.0%,1.79,A- (3.93),A- (3.94)
26,"Caligagan, Tony",TDMV 142 - Latin Dance of the World (A),WI23,53,18,100.0%,94.4%,3.06,A- (3.88),A- (3.99)
27,"Foster-King, Sandra",TDMV 143 - West African Dance (A),WI23,37,6,100.0%,83.3%,5.5,A- (3.80),A- (3.94)
28,"Caligagan, Tony",TDMV 146 - Intermediate Latin Dance (A),WI23,21,9,100.0%,66.7%,4.06,A (4.00),A- (3.93)
29,"Wilson, Terry A.",TDMV 2 - Beginning Contemporary Dance (A),WI23,35,10,87.5%,88.9%,1.25,A (4.00),A- (3.99)
30,"Duran, Marcos Antonio",TDMV 2 - Beginning Contemporary Dance (B),WI23,24,10,100.0%,100.0%,0.94,A (4.00),A (4.00)
31,"Weinberg, Sadie",TDMV 1 - Beginning Ballet (A),FA22,36,6,100.0%,100.0%,1.3,A (4.00),A- (3.90)
32,"Smith, Alison D",TDMV 120 - Intermediate Contemp Dance (A),FA22,29,13,100.0%,100.0%,1.88,A (4.00),A- (3.90)
33,"Sammartano, Tonnie",TDMV 122 - Advanced Contemporary Dance (B),FA22,20,7,100.0%,100.0%,1.64,A (4.00),A- (3.77)
34,"Rincon, Alicia",TDMV 130 - Intermediate Jazz (A),FA22,20,8,75.0%,62.5%,1.5,A (4.00),A (4.00)
35,"Jun, Grace Shin Hae",TDMV 138 - Beginning Hip Hop (A),FA22,50,13,100.0%,100.0%,1.42,A (4.00),A- (3.98)
36,"Caligagan, Tony",TDMV 142 - Latin Dance of the World (A),FA22,38,9,100.0%,100.0%,2.75,A (4.00),A- (3.98)
37,"Foster-King, Sandra",TDMV 143 - West African Dance (A),FA22,46,10,90.0%,70.0%,0.9,A (4.00),A (4.00)
38,"Caligagan, Tony",TDMV 146 - Intermediate Latin Dance (A),FA22,18,5,100.0%,100.0%,2.5,A (4.00),
39,"Sammartano, Tonnie",TDMV 2 - Beginning Contemporary Dance (A),FA22,29,14,100.0%,100.0%,0.93,A- (3.86),A- (3.93)
40,"Duran, Marcos Antonio",TDMV 2 - Beginning Contemporary Dance (B),FA22,33,18,100.0%,94.1%,1.06,A (4.00),A (4.00)
41,"Arcidiacono, Kristin",TDMV 3 - Beginning Jazz (A),FA22,27,7,100.0%,100.0%,1.36,A (4.00),A- (3.81)
42,"Caligagan, Maria T.",TDMV 1 - Beginning Ballet (B),S222,16,5,80.0%,80.0%,3.7,A- (3.75),
43,"Jun, Grace Shin Hae",TDMV 138 - Beginning Hip Hop (A),S222,31,8,100.0%,100.0%,4.79,A- (3.86),A (4.00)
44,"Caligagan, Tony",TDMV 142 - Latin Dance of the World (A),S222,13,4,100.0%,100.0%,3.83,A (4.00),
45,"Sammartano, Tonnie",TDMV 2 - Beginning Contemporary Dance (A),S222,18,5,100.0%,100.0%,2.5,A (4.00),
46,"Caligagan, Maria T.",TDMV 1 - Beginning Ballet (A),S122,15,3,100.0%,100.0%,1.17,A (4.00),
47,"Weinberg, Sadie",TDMV 2 - Beginning Contemporary Dance (A),S122,21,7,100.0%,100.0%,1.3,A (4.00),A- (3.95)
48,"Rincon, Alicia",TDMV 3 - Beginning Jazz (A),S122,23,3,100.0%,100.0%,2.5,B+ (3.50),A- (3.99)
49,"Caligagan, Maria T.",TDMV 1 - Beginning Ballet (A),SP22,37,8,100.0%,100.0%,2.75,A (4.00),A- (3.92)
50,"Caligagan, Maria T.",TDMV 1 - Beginning Ballet (B),SP22,33,12,100.0%,100.0%,3.67,A- (3.89),A- (3.83)
