,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Snaith, Yolande",TDPF 162 - Studies/Perform-Spring Product (A),SP23,36,6,100.0%,100.0%,6.0,A (4.00),A (4.00)
1,"Snaith, Yolande",TDPF 163 - Dance Repertory (A),SP23,32,4,100.0%,100.0%,5.5,A (4.00),A (4.00)
2,"Smith, Alison D",TDPF 160 - Studies/Perform-Fall Product (B),FA22,9,4,100.0%,100.0%,0.5,A (4.00),
3,"Weinberg, Sadie",TDPF 160 - Studies/Perform-Fall Product (C),FA22,17,6,100.0%,100.0%,2.83,A (4.00),
4,"Snaith, Yolande",TDPF 162 - Studies/Perform-Spring Product (A),SP22,22,6,100.0%,100.0%,3.83,A (4.00),A (4.00)
5,"Snaith, Yolande",TDPF 161 - Studies/Perform-Winter Product (B),WI22,6,4,100.0%,100.0%,2.5,A (4.00),
6,"Snaith, Yolande",TDPF 163 - Dance Repertory (A),WI22,11,3,100.0%,100.0%,0.5,A (4.00),
7,"Huerta, Patricia Isabel",TDPF 161 - Studies/Perform-Winter Product (A),FA21,10,4,75.0%,100.0%,4.0,A (4.00),
8,"Duran, Marcos Antonio",TDPF 162 - Studies/Perform-Spring Product (B),SP21,17,6,100.0%,100.0%,5.17,A (4.00),
9,"Chaleff, Rebecca",TDPF 161 - Studies/Perform-Winter Product (A),WI21,7,4,100.0%,100.0%,2.0,A (4.00),
10,"Rincon, Patricia A.",TDPF 162 - Studies/Perform-Spring Product (A),SP20,12,3,100.0%,100.0%,7.17,A (4.00),
11,"Clancy, Liam",TDPF 161 - Studies/Perform-Winter Product (A),WI20,7,3,100.0%,100.0%,2.5,A (4.00),
12,"Clancy, Liam",TDPF 163 - Dance Repertory (A),WI20,7,3,100.0%,100.0%,3.17,A (4.00),
13,"Geiger, Eric",TDPF 161 - Studies/Perform-Winter Product (A),WI19,14,4,100.0%,100.0%,2.5,A (4.00),
14,"Geiger, Eric",TDPF 163 - Dance Repertory (A),WI19,13,4,100.0%,100.0%,2.0,A (4.00),
15,"Snaith, Yolande",TDPF 162 - Studies/Perform-Spring Product (A),SP18,14,4,100.0%,100.0%,6.5,A (4.00),
16,"Smith, Alison D",TDPF 161 - Studies/Perform-Winter Product (A),WI18,23,6,100.0%,80.0%,0.9,A (4.00),A (4.00)
17,"Snaith, Yolande",TDPF 161 - Studies/Perform-Winter Product (A),WI18,23,6,100.0%,80.0%,0.9,A (4.00),A (4.00)
18,"Smith, Alison D",TDPF 163 - Dance Repertory (A),WI18,4,3,100.0%,100.0%,1.17,A (4.00),
19,"Snaith, Yolande",TDPF 163 - Dance Repertory (B),WI18,9,3,100.0%,100.0%,0.5,A (4.00),
20,"Geiger, Eric",TDPF 162 - Studies/Perform-Spring Product (A),SP17,14,3,100.0%,100.0%,3.5,A (4.00),
21,"Rincon, Patricia A.",TDPF 161 - Studies/Perform-Winter Product (A),WI17,16,5,100.0%,100.0%,1.5,A (4.00),
22,"Clancy, Liam",TDPF 162 - Studies/Perform-Spring Product (A),SP16,16,4,100.0%,100.0%,2.5,B+ (3.67),
23,"Geiger, Eric",TDPF 161 - Studies/Perform-Winter Product (A),WI16,17,5,100.0%,100.0%,3.3,A (4.00),
24,"Smith, Alison D",TDPF 162 - Studies/Perform-Spring Product (A),SP15,18,5,80.0%,100.0%,4.5,A (4.00),
25,"Rincon, Patricia A.",TDPF 161 - Studies/Perform-Winter Product (A),WI15,14,10,100.0%,100.0%,4.9,A (4.00),
26,"Clancy, Liam",TDPF 163 - Dance Repertory (A),FA14,5,3,100.0%,100.0%,2.5,A (4.00),
27,"Rincon, Patricia A.",TDPF 161 - Studies/Perform-Winter Product (A),WI14,23,8,100.0%,100.0%,5.64,A (4.00),A (4.00)
28,"Rincon, Patricia A.",TDPF 163 - Dance Repertory (A),WI14,23,8,87.5%,87.5%,5.64,A (4.00),A (4.00)
29,"Geiger, Eric",TDPF 160 - Studies/Perform-Fall Product (A),FA13,9,5,100.0%,100.0%,4.1,A (4.00),
30,"Geiger, Eric",TDPF 163 - Dance Repertory (A),FA13,7,4,100.0%,100.0%,3.5,A (4.00),
31,"Smith, Alison D",TDPF 163 - Dance Repertory (B),FA13,6,4,100.0%,100.0%,1.83,A (4.00),
32,"Smith, Alison D",TDPF 162 - Studies/Perform-Spring Product (A),SP13,6,3,100.0%,100.0%,3.5,A (4.00),
33,"Snaith, Yolande",TDPF 162 - Studies/Perform-Spring Product (A),SP13,6,3,100.0%,100.0%,3.5,A (4.00),
34,"Snaith, Yolande",TDPF 161 - Studies/Perform-Winter Product (A),WI13,13,5,100.0%,80.0%,1.5,A (4.00),
35,"Snaith, Yolande",TDPF 163 - Dance Repertory (F),WI13,5,4,100.0%,75.0%,0.5,A (4.00),
36,"Valerdi, Natalia",TDPF 163 - Dance Repertory (B),FA12,4,3,100.0%,100.0%,3.83,B+ (3.67),
37,"Clancy, Liam",TDPF 162 - Studies/Perform-Spring Product (A),SP12,11,5,100.0%,100.0%,4.5,A (4.00),
38,"Geiger, Eric",TDPF 162 - Studies/Perform-Spring Product (A),SP12,11,5,100.0%,100.0%,4.5,A (4.00),
39,"Rincon, Patricia A.",TDPF 161 - Studies/Perform-Winter Product (A),WI12,44,14,100.0%,100.0%,3.27,A (4.00),A (4.00)
40,"Smith, Alison D",TDPF 163 - Dance Repertory (D),WI12,12,7,100.0%,100.0%,2.79,A (4.00),
41,"Green, Allyson",TDPF 163 - Dance Repertory (F),WI12,15,5,100.0%,100.0%,3.83,A (4.00),
42,"Rincon, Patricia A.",TDPF 160 - Studies/Perform-Fall Product (A),FA11,11,6,100.0%,100.0%,1.83,A (4.00),
43,"Snaith, Yolande",TDPF 163 - Dance Repertory (A),FA11,4,4,100.0%,100.0%,1.5,A (4.00),
44,"Rincon, Patricia A.",TDPF 163 - Dance Repertory (B),FA11,8,3,100.0%,100.0%,1.83,A (4.00),
45,"Geiger, Eric",TDPF 162 - Studies/Perform-Spring Product (A),SP11,21,7,100.0%,100.0%,4.79,A (4.00),A (4.00)
46,"Rincon, Patricia A.",TDPF 162 - Studies/Perform-Spring Product (A),SP11,21,7,100.0%,100.0%,5.93,A (4.00),
47,"Geiger, Eric",TDPF 163 - Dance Repertory (B),SP11,20,7,100.0%,100.0%,4.79,A (4.00),A (4.00)
48,"Rincon, Patricia A.",TDPF 163 - Dance Repertory (B),SP11,20,7,100.0%,100.0%,4.79,A (4.00),
49,"Snaith, Yolande",TDPF 161 - Studies/Perform-Winter Product (A),WI11,37,13,100.0%,90.0%,2.0,A (4.00),A (4.00)
50,"Clancy, Liam",TDPF 163 - Dance Repertory (C),WI11,19,9,100.0%,100.0%,2.72,A (4.00),
51,"Rincon, Patricia A.",TDPF 163 - Dance Repertory (D),WI11,9,3,100.0%,100.0%,0.5,A (4.00),
52,"Rincon, Patricia A.",TDPF 163 - Dance Repertory (E),WI11,7,5,100.0%,100.0%,2.9,A (4.00),
53,"Green, Allyson",TDPF 160 - Studies/Perform-Fall Product (A),FA10,20,11,100.0%,100.0%,1.59,A (4.00),A- (3.95)
54,"Smith, Alison D",TDPF 163 - Dance Repertory (A),FA10,5,3,100.0%,100.0%,0.5,A (4.00),
55,"Geiger, Eric",TDPF 163 - Dance Repertory (B),FA10,7,3,100.0%,100.0%,2.5,A (4.00),
56,"Wilson, Terry A.",TDPF 162 - Studies/Perform-Spring Product (B),SP10,15,8,100.0%,100.0%,4.25,A (4.00),
57,"Wilson, Terry A.",TDPF 163 - Dance Repertory (A),SP10,19,9,100.0%,100.0%,5.17,A (4.00),
58,"Rincon, Patricia A.",TDPF 161 - Studies/Perform-Winter Product (A),WI10,36,9,100.0%,100.0%,1.83,A (4.00),A (4.00)
59,"Clancy, Liam",TDPF 163 - Dance Repertory (A),WI10,10,3,100.0%,100.0%,1.83,A (4.00),
60,"Green, Allyson",TDPF 163 - Dance Repertory (D),WI10,19,4,100.0%,100.0%,2.0,A (4.00),
61,"Rincon, Patricia A.",TDPF 163 - Dance Repertory (E),WI10,11,3,100.0%,100.0%,1.83,A (4.00),
62,"Geiger, Eric",TDPF 161 - Studies/Perform-Winter Product (A),WI09,43,28,100.0%,100.0%,3.76,A- (3.96),A (4.00)
63,"Geiger, Eric",TDPF 163 - Dance Repertory (C),WI08,15,14,100.0%,100.0%,1.64,A (4.00),
