,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Guirguis, Mark C",TDPR 6 - Theatre Practicum (A),SP23,63,19,82.4%,82.4%,2.74,A- (3.94),A- (3.97)
1,"Guirguis, Mark C",TDPR 6 - Theatre Practicum (A),WI23,38,13,84.6%,84.6%,9.42,A- (3.92),A- (3.78)
2,"Benzoni, Elisa",TDPR 6 - Theatre Practicum (A),FA22,36,9,75.0%,87.5%,4.0,A (4.00),A- (3.98)
3,"Guirguis, Mark C",TDPR 6 - Theatre Practicum (A),SP22,53,13,80.0%,90.0%,6.68,A- (3.91),A- (3.89)
4,"Guirguis, Mark C",TDPR 6 - Theatre Practicum (A),WI22,46,13,90.9%,100.0%,5.41,A- (3.91),A- (3.93)
5,"Guirguis, Mark C",TDPR 6 - Theatre Practicum (A),FA21,29,11,90.9%,100.0%,5.05,A (4.00),A- (3.92)
6,"Guirguis, Mark C",TDPR 6 - Theatre Practicum (A),SP21,48,15,100.0%,100.0%,4.5,A- (3.83),B+ (3.67)
7,"Guirguis, Mark C",TDPR 6 - Theatre Practicum (A),WI21,48,18,100.0%,93.8%,3.75,A- (3.81),A- (3.74)
8,"Guirguis, Mark C",TDPR 6 - Theatre Practicum (A),FA20,31,12,81.8%,90.9%,2.83,A (4.00),B+ (3.50)
9,"Guirguis, Mark C",TDPR 6 - Theatre Practicum (A),SP20,30,8,100.0%,100.0%,3.64,A- (3.86),A- (3.90)
10,"Guirguis, Mark C",TDPR 6 - Theatre Practicum (A),WI20,45,13,100.0%,100.0%,5.67,A- (3.92),A- (3.81)
11,"Guirguis, Mark C",TDPR 6 - Theatre Practicum (A),FA19,30,12,91.7%,100.0%,6.0,A (4.00),A- (3.86)
12,"Guirguis, Mark C",TDPR 6 - Theatre Practicum (A),SP19,23,13,81.8%,100.0%,4.32,B+ (3.64),B+ (3.59)
13,"Guirguis, Mark C",TDPR 6 - Theatre Practicum (A),WI19,43,15,92.9%,100.0%,6.07,A- (3.79),A- (3.73)
14,"Guirguis, Mark C",TDPR 6 - Theatre Practicum (A),FA18,30,17,69.2%,100.0%,7.88,A (4.00),A- (3.74)
15,"Guirguis, Mark C",TDPR 6 - Theatre Practicum (A),SP18,38,12,90.0%,100.0%,2.5,A- (3.70),A- (3.83)
16,"Guirguis, Mark C",TDPR 6 - Theatre Practicum (A),WI18,36,11,90.0%,100.0%,5.9,A- (3.90),A- (3.87)
17,"Guirguis, Mark C",TDPR 6 - Theatre Practicum (A),FA17,30,11,88.9%,100.0%,5.61,A- (3.89),A- (3.97)
18,"Guirguis, Mark C",TDPR 6 - Theatre Practicum (A),SP17,43,18,75.0%,93.8%,4.63,A- (3.88),B+ (3.70)
19,"Guirguis, Mark C",TDPR 6 - Theatre Practicum (A),WI17,37,12,88.9%,100.0%,6.28,A- (3.88),A- (3.97)
20,"Guirguis, Mark C",TDPR 6 - Theatre Practicum (A),FA16,31,11,87.5%,100.0%,4.0,A (4.00),A- (3.76)
21,"Guirguis, Mark C",TDPR 6 - Theatre Practicum (A),SP16,35,15,80.0%,100.0%,3.93,A- (3.93),A- (3.81)
22,"Guirguis, Mark C",TDPR 6 - Theatre Practicum (A),WI16,34,16,93.3%,100.0%,2.79,A- (3.92),A- (3.87)
23,"Guirguis, Mark C",TDPR 6 - Theatre Practicum (A),FA15,19,10,100.0%,100.0%,8.0,A (4.00),
24,"Guirguis, Mark C",TDPR 6 - Theatre Practicum (A),SP15,34,11,77.8%,88.9%,4.94,A- (3.88),A- (3.95)
25,"Guirguis, Mark C",TDPR 6 - Theatre Practicum (A),WI15,35,11,88.9%,100.0%,4.25,A (4.00),A- (3.71)
26,"Guirguis, Mark C",TDPR 6 - Theatre Practicum (A),FA14,25,13,92.3%,92.3%,4.5,A- (3.92),A- (3.89)
27,"Guirguis, Mark C",TDPR 6 - Theatre Practicum (A),SP14,40,15,84.6%,100.0%,2.81,A- (3.92),A- (3.89)
28,"Guirguis, Mark C",TDPR 6 - Theatre Practicum (A),WI14,33,17,70.6%,94.1%,5.91,A (4.00),A- (3.82)
29,"Guirguis, Mark C",TDPR 6 - Theatre Practicum (A),FA13,33,13,84.6%,84.6%,6.35,A- (3.92),A- (3.93)
30,"Guirguis, Mark C",TDPR 6 - Theatre Practicum (A),SP13,36,16,93.3%,100.0%,5.83,A (4.00),A- (3.86)
31,"Guirguis, Mark C",TDPR 6 - Theatre Practicum (A),WI13,42,20,80.0%,85.0%,4.9,A (4.00),A- (3.95)
32,"Guirguis, Mark C",TDPR 6 - Theatre Practicum (A),FA12,28,8,87.5%,87.5%,8.21,A- (3.88),A- (3.98)
33,"Guirguis, Mark C",TDPR 6 - Theatre Practicum (A),SP12,35,8,100.0%,87.5%,2.0,A- (3.86),A- (3.87)
34,"Guirguis, Mark C",TDPR 6 - Theatre Practicum (A),WI12,52,22,90.9%,100.0%,6.86,A- (3.91),A- (3.86)
35,"Guirguis, Mark C",TDPR 6 - Theatre Practicum (A),FA11,26,8,75.0%,100.0%,5.5,A (4.00),A- (3.96)
36,"Guirguis, Mark C",TDPR 6 - Theatre Practicum (A),SP11,34,13,83.3%,83.3%,4.17,B+ (3.69),A- (3.94)
37,"Guirguis, Mark C",TDPR 6 - Theatre Practicum (A),WI11,42,18,72.2%,94.1%,6.06,A- (3.94),A- (3.90)
38,"Guirguis, Mark C",TDPR 1 - Practicum - Scenery (A),FA10,6,4,100.0%,100.0%,12.5,A (4.00),
