,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Iizuka, Naomi Hisako",TDPW 1 - Introduction to Playwriting (A),SP23,15,5,100.0%,100.0%,4.5,A (4.00),
1,"Iizuka, Naomi Hisako",TDPW 1 - Introduction to Playwriting (B),SP23,15,9,100.0%,100.0%,3.0,A (4.00),
2,"Iizuka, Naomi Hisako",TDPW 1 - Introduction to Playwriting (C),SP23,14,5,80.0%,80.0%,3.7,A (4.00),
3,"Iizuka, Naomi Hisako",TDPW 1 - Introduction to Playwriting (D),SP23,14,11,100.0%,100.0%,3.41,A (4.00),
4,"Iizuka, Naomi Hisako",TDPW 1 - Introduction to Playwriting (E),SP23,15,8,100.0%,100.0%,4.0,A- (3.88),
5,"Iizuka, Naomi Hisako",TDPW 1 - Introduction to Playwriting (F),SP23,14,6,100.0%,100.0%,4.0,A (4.00),
6,"Iizuka, Naomi Hisako",TDPW 1 - Introduction to Playwriting (G),SP23,14,7,100.0%,100.0%,2.5,A- (3.86),
7,"Stein, Deborah Isobel",TDPW 102 - Advanced Playwriting (A),SP23,19,5,100.0%,100.0%,4.5,B+ (3.33),
8,"Havis, Allan",TDPW 104 - Screenwriting (A),SP23,17,4,33.3%,33.3%,3.17,A (4.00),
9,"Stein, Deborah Isobel",TDPW 101 - Intermediate Playwriting (A),WI23,15,6,100.0%,100.0%,3.83,A (4.00),
10,"Stein, Deborah Isobel",TDPW 101 - Intermediate Playwriting (B),WI23,14,6,100.0%,83.3%,4.5,B+ (3.67),
11,"Stein, Deborah Isobel",TDPW 101 - Intermediate Playwriting (D),WI23,12,4,100.0%,100.0%,3.5,A- (3.75),
12,"Stein, Deborah Isobel",TDPW 101 - Intermediate Playwriting (E),WI23,12,5,100.0%,100.0%,3.7,A (4.00),
13,"Stein, Deborah Isobel",TDPW 101 - Intermediate Playwriting (F),WI23,10,3,100.0%,100.0%,4.5,A (4.00),
14,"Stein, Deborah Isobel",TDPW 101 - Intermediate Playwriting (G),WI23,15,9,100.0%,83.3%,2.5,A (4.00),
15,"Viterbi, Alexandra",TDPW 1 - Introduction to Playwriting (A),FA22,14,5,100.0%,100.0%,2.9,B+ (3.60),
16,"Viterbi, Alexandra",TDPW 1 - Introduction to Playwriting (B),FA22,14,5,100.0%,100.0%,3.3,A- (3.80),
17,"Viterbi, Alexandra",TDPW 1 - Introduction to Playwriting (C),FA22,15,3,100.0%,100.0%,3.17,A (4.00),
18,"Viterbi, Alexandra",TDPW 1 - Introduction to Playwriting (F),FA22,14,8,100.0%,100.0%,4.25,A- (3.86),
19,"Nelson-Greenberg, Mara",TDPW 101 - Intermediate Playwriting (A),S222,13,3,100.0%,100.0%,3.83,B+ (3.33),
20,"Stein, Deborah Isobel",TDPW 1 - Introduction to Playwriting (A),SP22,15,5,100.0%,100.0%,4.5,A (4.00),
21,"Stein, Deborah Isobel",TDPW 1 - Introduction to Playwriting (B),SP22,14,4,100.0%,100.0%,4.0,A- (3.75),
22,"Stein, Deborah Isobel",TDPW 1 - Introduction to Playwriting (C),SP22,14,6,100.0%,100.0%,2.5,B+ (3.67),
23,"Stein, Deborah Isobel",TDPW 1 - Introduction to Playwriting (D),SP22,14,7,100.0%,100.0%,5.64,A- (3.86),
24,"Stein, Deborah Isobel",TDPW 1 - Introduction to Playwriting (E),SP22,14,8,87.5%,100.0%,3.75,A- (3.86),
25,"Iizuka, Naomi Hisako",TDPW 102 - Advanced Playwriting (A),SP22,22,10,100.0%,100.0%,8.7,A- (3.90),B+ (3.64)
26,"Stein, Deborah Isobel",TDPW 101 - Intermediate Playwriting (A),WI22,15,4,100.0%,100.0%,4.0,A (4.00),
27,"Stein, Deborah Isobel",TDPW 101 - Intermediate Playwriting (B),WI22,16,5,100.0%,100.0%,4.9,A- (3.80),
28,"Stein, Deborah Isobel",TDPW 101 - Intermediate Playwriting (D),WI22,15,6,100.0%,100.0%,6.5,A- (3.83),
29,"Stein, Deborah Isobel",TDPW 1 - Introduction to Playwriting (A),FA21,15,6,100.0%,100.0%,5.83,A (4.00),
30,"Stein, Deborah Isobel",TDPW 1 - Introduction to Playwriting (B),FA21,14,6,100.0%,100.0%,3.5,A- (3.83),
31,"Stein, Deborah Isobel",TDPW 1 - Introduction to Playwriting (C),FA21,14,11,100.0%,100.0%,3.41,A- (3.91),
32,"Stein, Deborah Isobel",TDPW 1 - Introduction to Playwriting (D),FA21,15,5,100.0%,100.0%,5.0,A (4.00),
33,"Stein, Deborah Isobel",TDPW 1 - Introduction to Playwriting (E),FA21,15,4,100.0%,100.0%,3.5,B+ (3.50),
34,"Stein, Deborah Isobel",TDPW 1 - Introduction to Playwriting (A),SP21,12,5,100.0%,100.0%,2.5,A (4.00),
35,"Stein, Deborah Isobel",TDPW 1 - Introduction to Playwriting (B),SP21,13,6,83.3%,100.0%,3.17,B+ (3.33),
36,"Stein, Deborah Isobel",TDPW 1 - Introduction to Playwriting (C),SP21,14,8,100.0%,100.0%,3.75,A- (3.88),
37,"Stein, Deborah Isobel",TDPW 1 - Introduction to Playwriting (D),SP21,14,13,100.0%,100.0%,3.27,A (4.00),
38,"Iizuka, Naomi Hisako",TDPW 102 - Advanced Playwriting (A),SP21,21,7,100.0%,100.0%,5.07,A- (3.86),B+ (3.61)
39,"Freni, Edith Loraine",TDPW 101 - Intermediate Playwriting (A),WI21,14,9,100.0%,85.7%,4.5,A- (3.86),
40,"Freni, Edith Loraine",TDPW 101 - Intermediate Playwriting (C),WI21,15,3,100.0%,100.0%,3.17,A (4.00),
41,"Stein, Deborah Isobel",TDPW 1 - Introduction to Playwriting (A),FA20,14,5,100.0%,100.0%,5.7,B+ (3.60),
42,"Stein, Deborah Isobel",TDPW 1 - Introduction to Playwriting (B),FA20,13,6,100.0%,100.0%,4.9,B+ (3.60),
43,"Stein, Deborah Isobel",TDPW 1 - Introduction to Playwriting (C),FA20,14,7,100.0%,100.0%,3.07,A (4.00),
44,"Stein, Deborah Isobel",TDPW 1 - Introduction to Playwriting (D),FA20,13,7,100.0%,100.0%,4.5,A- (3.83),
45,"Stein, Deborah Isobel",TDPW 1 - Introduction to Playwriting (E),FA20,15,6,100.0%,100.0%,2.83,A (4.00),
46,"Stein, Deborah Isobel",TDPW 1 - Introduction to Playwriting (G),FA20,15,10,100.0%,100.0%,4.28,A- (3.89),
47,"Stein, Deborah Isobel",TDPW 1 - Introduction to Playwriting (H),FA20,15,9,100.0%,100.0%,3.61,A- (3.89),
48,"Stein, Deborah Isobel",TDPW 1 - Introduction to Playwriting (A),S220,15,5,100.0%,100.0%,4.9,A (4.00),
49,"Stein, Deborah Isobel",TDPW 1 - Introduction to Playwriting (A),S120,19,4,100.0%,100.0%,4.0,A (4.00),
50,"Stein, Deborah Isobel",TDPW 1 - Introduction to Playwriting (A),SP20,14,4,100.0%,100.0%,5.0,A (4.00),
51,"Stein, Deborah Isobel",TDPW 1 - Introduction to Playwriting (C),SP20,14,8,100.0%,100.0%,3.36,A (4.00),
52,"Stein, Deborah Isobel",TDPW 1 - Introduction to Playwriting (D),SP20,15,7,100.0%,100.0%,3.93,A- (3.80),
53,"Iizuka, Naomi Hisako",TDPW 102 - Advanced Playwriting (A),SP20,22,17,100.0%,100.0%,5.56,A- (3.94),A- (3.78)
54,"Freni, Edith Loraine",TDPW 101 - Intermediate Playwriting (A),WI20,15,3,66.7%,100.0%,6.5,A (4.00),
55,"Freni, Edith Loraine",TDPW 101 - Intermediate Playwriting (B),WI20,12,3,100.0%,100.0%,5.17,C+ (2.67),
56,"Freni, Edith Loraine",TDPW 101 - Intermediate Playwriting (C),WI20,14,6,83.3%,100.0%,4.17,A- (3.83),
57,"Freni, Edith Loraine",TDPW 101 - Intermediate Playwriting (D),WI20,14,4,100.0%,100.0%,4.0,B+ (3.50),
58,"Freni, Edith Loraine",TDPW 1 - Introduction to Playwriting (A),FA19,14,5,100.0%,100.0%,2.5,A (4.00),
59,"Freni, Edith Loraine",TDPW 1 - Introduction to Playwriting (D),FA19,15,5,100.0%,100.0%,3.5,A (4.00),
60,"Freni, Edith Loraine",TDPW 1 - Introduction to Playwriting (E),FA19,14,4,100.0%,100.0%,2.5,A (4.00),
61,"Freni, Edith Loraine",TDPW 1 - Introduction to Playwriting (F),FA19,14,6,100.0%,100.0%,5.0,A- (3.75),
62,"Freni, Edith Loraine",TDPW 1 - Introduction to Playwriting (G),FA19,14,7,100.0%,100.0%,5.36,A (4.00),
63,"Padilla, Liliana Camille",TDPW 1 - Introduction to Playwriting (A),SP19,14,6,100.0%,100.0%,3.5,A (4.00),
64,"Padilla, Liliana Camille",TDPW 1 - Introduction to Playwriting (B),SP19,14,3,100.0%,100.0%,2.5,A (4.00),
65,"Padilla, Liliana Camille",TDPW 1 - Introduction to Playwriting (D),SP19,14,8,100.0%,100.0%,3.93,B+ (3.43),
66,"Padilla, Liliana Camille",TDPW 1 - Introduction to Playwriting (E),SP19,13,8,100.0%,100.0%,5.07,A (4.00),
67,"Padilla, Liliana Camille",TDPW 1 - Introduction to Playwriting (F),SP19,14,5,100.0%,100.0%,2.5,A- (3.80),
68,"Iizuka, Naomi Hisako",TDPW 102 - Advanced Playwriting (A),SP19,18,7,100.0%,100.0%,4.83,A- (3.83),
69,"Havis, Allan",TDPW 101 - Intermediate Playwriting (A),WI19,14,10,87.5%,100.0%,4.25,A- (3.75),
70,"Havis, Allan",TDPW 101 - Intermediate Playwriting (B),WI19,15,3,100.0%,100.0%,3.5,B+ (3.50),
71,"Havis, Allan",TDPW 101 - Intermediate Playwriting (C),WI19,13,3,100.0%,100.0%,8.5,A (4.00),
72,"Havis, Allan",TDPW 101 - Intermediate Playwriting (D),WI19,14,3,100.0%,100.0%,8.5,A (4.00),
73,"Padilla, Liliana Camille",TDPW 1 - Introduction to Playwriting (A),FA18,14,7,100.0%,83.3%,4.17,A (4.00),
74,"Padilla, Liliana Camille",TDPW 1 - Introduction to Playwriting (D),FA18,13,5,100.0%,100.0%,5.3,A (4.00),
75,"Padilla, Liliana Camille",TDPW 1 - Introduction to Playwriting (E),FA18,14,7,100.0%,100.0%,3.36,A- (3.86),
76,"Padilla, Liliana Camille",TDPW 1 - Introduction to Playwriting (F),FA18,15,8,100.0%,100.0%,5.5,A (4.00),
77,"Padilla, Liliana Camille",TDPW 1 - Introduction to Playwriting (G),FA18,15,8,87.5%,87.5%,3.75,B+ (3.50),
78,"Iizuka, Naomi Hisako",TDPW 1 - Introduction to Playwriting (A),SP18,14,6,100.0%,75.0%,3.3,A (4.00),
79,"Iizuka, Naomi Hisako",TDPW 1 - Introduction to Playwriting (B),SP18,15,8,100.0%,100.0%,4.25,A (4.00),
