,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Wilson, Terry A.",TDTR 10 - Introduction to Dance (A),SP23,50,21,95.2%,100.0%,2.79,A- (3.80),A- (3.81)
1,"Smith, Alison D",TDTR 104 - Dance Theory & Pedagogy (A),SP23,20,4,100.0%,75.0%,1.0,A (4.00),A- (3.81)
2,"Smith, Alison D",TDTR 20 - Dance On Film (A),SP23,29,8,100.0%,100.0%,3.5,A (4.00),A- (3.81)
3,"Smith, Alison D",TDTR 15 - Dance Movement and Analysis (A),WI23,30,20,100.0%,100.0%,2.08,A- (3.83),A- (3.97)
4,"Wilson, Terry A.",TDTR 10 - Introduction to Dance (A),FA22,45,15,84.6%,92.3%,2.81,A- (3.92),A- (3.88)
5,"Wilson, Terry A.",TDTR 10 - Introduction to Dance (A),SP22,47,20,95.0%,95.0%,3.4,A- (3.94),A- (3.84)
6,"Wilson, Terry A.",TDTR 10 - Introduction to Dance (A),WI22,49,17,87.5%,93.8%,3.32,A- (3.88),A- (3.89)
7,"Smith, Alison D",TDTR 20 - Dance On Film (A),WI22,28,10,100.0%,90.0%,5.1,A (4.00),A- (3.89)
8,"Wilson, Terry A.",TDTR 10 - Introduction to Dance (A),FA21,49,20,94.7%,94.4%,3.39,A (4.00),B+ (3.69)
9,"Smith, Alison D",TDTR 15 - Dance Movement and Analysis (A),FA21,23,15,100.0%,100.0%,3.97,A- (3.87),A- (3.91)
10,"Wilson, Terry A.",TDTR 10 - Introduction to Dance (A),SP21,30,11,72.7%,81.8%,4.14,A (4.00),A- (3.81)
11,"Wilson, Terry A.",TDTR 10 - Introduction to Dance (A),WI21,31,19,94.7%,84.2%,2.82,A- (3.89),A- (3.99)
12,"Smith, Alison D",TDTR 104 - Dance Theory & Pedagogy (A),WI21,17,7,100.0%,100.0%,4.21,A (4.00),
13,"Wilson, Terry A.",TDTR 10 - Introduction to Dance (A),FA20,44,13,100.0%,100.0%,3.58,A (4.00),A- (3.74)
14,"Smith, Alison D",TDTR 15 - Dance Movement and Analysis (A),FA20,11,6,100.0%,100.0%,2.83,A (4.00),
15,"Wilson, Terry A.",TDTR 10 - Introduction to Dance (A),SP20,34,16,100.0%,93.3%,3.43,A- (3.87),A- (3.84)
16,"Wilson, Terry A.",TDTR 10 - Introduction to Dance (A),WI20,45,16,100.0%,93.8%,2.5,A- (3.75),A- (3.98)
17,"Smith, Alison D",TDTR 104 - Dance Theory & Pedagogy (A),WI20,13,11,100.0%,100.0%,5.59,A (4.00),
18,"Smith, Alison D",TDTR 20 - Dance On Film (A),WI20,8,7,100.0%,100.0%,6.21,A- (3.86),
19,"Wilson, Terry A.",TDTR 10 - Introduction to Dance (A),FA19,49,22,94.7%,94.7%,2.18,B+ (3.58),A- (3.76)
20,"Smith, Alison D",TDTR 15 - Dance Movement and Analysis (A),FA19,14,10,100.0%,100.0%,2.5,A- (3.89),
21,"Smith, Alison D",TDTR 20 - Dance On Film (A),SP19,23,10,100.0%,100.0%,2.72,A- (3.86),A- (3.88)
22,"Wilson, Terry A.",TDTR 10 - Introduction to Dance (A),WI19,47,21,100.0%,100.0%,2.6,A- (3.90),A- (3.87)
23,"Smith, Alison D",TDTR 104 - Dance Theory & Pedagogy (A),WI19,12,6,100.0%,100.0%,2.5,A (4.00),
24,"Wilson, Terry A.",TDTR 10 - Introduction to Dance (A),FA18,26,13,100.0%,100.0%,3.12,A- (3.73),B+ (3.62)
25,"Smith, Alison D",TDTR 15 - Dance Movement and Analysis (A),FA18,17,12,91.7%,100.0%,4.0,B+ (3.67),
26,"Wilson, Terry A.",TDTR 10 - Introduction to Dance (A),SP18,50,20,94.7%,100.0%,3.03,A- (3.83),A- (3.83)
27,"Smith, Alison D",TDTR 20 - Dance On Film (A),SP18,5,3,100.0%,100.0%,1.83,A (4.00),
28,"Wilson, Terry A.",TDTR 10 - Introduction to Dance (A),WI18,48,17,100.0%,100.0%,2.97,A- (3.81),A- (3.80)
29,"Smith, Alison D",TDTR 15 - Dance Movement and Analysis (A),WI18,3,3,100.0%,100.0%,2.5,A (4.00),
30,"Wilson, Terry A.",TDTR 10 - Introduction to Dance (A),FA17,49,27,96.2%,100.0%,2.27,A- (3.80),A- (3.79)
31,"Smith, Alison D",TDTR 104 - Dance Theory & Pedagogy (A),FA17,8,4,100.0%,100.0%,2.5,A (4.00),
32,"Wilson, Terry A.",TDTR 10 - Introduction to Dance (A),SP17,48,17,100.0%,93.3%,1.97,A- (3.87),A- (3.87)
33,"Wilson, Terry A.",TDTR 10 - Introduction to Dance (B),SP17,46,15,100.0%,100.0%,2.1,A- (3.86),A- (3.87)
34,"Wilson, Terry A.",TDTR 10 - Introduction to Dance (A),WI17,49,20,94.4%,94.4%,3.72,A- (3.76),A- (3.78)
35,"Smith, Alison D",TDTR 101 - Dance Movement Analysis (A),WI17,6,6,80.0%,80.0%,2.9,B+ (3.60),
36,"Wilson, Terry A.",TDTR 10 - Introduction to Dance (A),FA16,63,30,92.6%,92.6%,2.72,A- (3.92),A- (3.72)
37,"Wilson, Terry A.",TDTR 10 - Introduction to Dance (A),SP16,46,20,94.4%,100.0%,2.94,A- (3.81),A- (3.89)
38,"Wilson, Terry A.",TDTR 10 - Introduction to Dance (A),WI16,46,23,95.7%,95.7%,2.5,A- (3.95),A- (3.75)
39,"Wilson, Terry A.",TDTR 10 - Introduction to Dance (A),FA15,47,24,91.3%,87.0%,2.24,A- (3.82),A- (3.92)
40,"Wilson, Terry A.",TDTR 10 - Introduction to Dance (A),SP15,49,18,100.0%,100.0%,4.15,A (4.00),A- (3.72)
41,"Wilson, Terry A.",TDTR 10 - Introduction to Dance (A),WI15,48,28,92.3%,96.2%,2.82,A- (3.80),B+ (3.65)
42,"Smith, Alison D",TDTR 101 - Dance Movement Analysis (A),WI15,6,5,100.0%,100.0%,3.3,A- (3.80),
43,"Wilson, Terry A.",TDTR 10 - Introduction to Dance (A),FA14,59,26,100.0%,96.0%,4.26,A- (3.73),B+ (3.64)
44,"Wilson, Terry A.",TDTR 10 - Introduction to Dance (A),SP14,50,19,100.0%,100.0%,1.97,A- (3.89),A- (3.83)
45,"Wilson, Terry A.",TDTR 10 - Introduction to Dance (A),WI14,48,28,92.9%,100.0%,3.21,A- (3.81),B+ (3.69)
46,"Smith, Alison D",TDTR 104 - Dance Theory & Pedagogy (A),WI14,12,6,100.0%,100.0%,3.17,A (4.00),
47,"Wilson, Terry A.",TDTR 10 - Introduction to Dance (A),FA13,48,20,90.0%,100.0%,3.2,A- (3.80),A- (3.78)
48,"Wilson, Terry A.",TDTR 10 - Introduction to Dance (A),SP13,48,18,100.0%,100.0%,3.91,A- (3.88),B+ (3.68)
