,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Moses, Kelema Lee",USP 100 - Introduction to Urban Planning (A),SP23,63,22,100.0%,100.0%,2.69,A- (3.90),B+ (3.52)
1,"Gaudette, Jennifer Colleen",USP 101 - Introduction/Policy Analysis (A),SP23,15,3,100.0%,100.0%,4.5,B+ (3.67),
2,"Shmaryahu Yeshurun, Yael",USP 105 - Urban Sociology (A),SP23,22,10,80.0%,70.0%,2.3,A- (3.90),A- (3.83)
3,"Lewis, Leslie R",USP 128B - CAS: Capstone Project (A),SP23,14,6,100.0%,100.0%,4.5,A- (3.83),
4,"Lewis, Leslie R",USP 142B - Urban Chal. Homelessness II (A),SP23,17,7,100.0%,100.0%,3.07,A (4.00),
5,"Lerner, Amy M",USP 142C - Urban Challenges: Food Systems (A),SP23,30,8,100.0%,100.0%,3.25,A- (3.88),A- (3.79)
6,"Yaghmaee, Saman",USP 145 - Aging-Social & Health Policy (A),SP23,91,30,96.6%,82.8%,3.67,B+ (3.67),B (3.29)
7,"Frank, Lawrence Douglas",USP 148 - Health & the Built Environment (A),SP23,19,10,70.0%,60.0%,4.7,A- (3.89),
8,"Norr, Alex Vaughn",USP 15 - Urban Econ/Plan&Development (A),SP23,60,18,82.4%,75.0%,4.03,B+ (3.31),B- (2.85)
9,"Devereux, Christina Schopp",USP 150 - Real Estate/Law & Regulation (A),SP23,42,12,100.0%,100.0%,5.41,B (3.27),B- (2.88)
10,"Moeder, Nathan L",USP 158A - Adv. Special Topics in RED (B),SP23,15,6,100.0%,100.0%,6.83,A (4.00),
11,"Moses, Kelema Lee",USP 164 - Cities in Film (A),SP23,30,7,100.0%,100.0%,2.21,A- (3.71),B+ (3.59)
12,"Peerson, Susan",USP 172 - Graphics/Visual Communication (A),SP23,24,8,100.0%,100.0%,10.5,A (4.00),A- (3.95)
13,"Velasco, Diego",USP 175 - Site Analysis (A),SP23,28,7,57.1%,57.1%,1.36,A- (3.71),B+ (3.60)
14,"Velasco, Diego",USP 177A - Urban Design Practicum (A),SP23,25,12,100.0%,100.0%,5.41,A- (3.91),A- (3.74)
15,"Peerson, Susan","USP 179 - Urban Design,Theory & Practice (A)",SP23,25,5,100.0%,100.0%,8.1,A (4.00),A- (3.71)
16,"Lopez Ricoy, Ana Eugenia",USP 188B - Research Analysis and Report (A),SP23,29,10,100.0%,100.0%,6.28,B+ (3.67),A- (3.96)
17,"Osias, David",USP 189 - Special Topics/Urban Planning (A),SP23,20,12,83.3%,83.3%,5.0,B+ (3.40),B (3.11)
18,"Zhao, Ming",USP 191B - Adv. GIS for Urban Research (A),SP23,15,4,100.0%,100.0%,2.5,A- (3.75),
19,"Martin, Isaac",USP 3 - City and Social Theory (A),SP23,119,53,100.0%,100.0%,4.69,B+ (3.44),B+ (3.48)
20,"Polat, Soydan Alihan",USP 4 - Intro/Geographic Info Systems (A),SP23,25,9,100.0%,100.0%,3.83,A- (3.88),B+ (3.56)
21,"Sun, Feiyang",USP 5 - Intro to Real Estate/Develmnt (A),SP23,66,13,91.7%,91.7%,3.33,A- (3.75),A- (3.92)
22,"Shmaryahu Yeshurun, Yael",USP 105 - Urban Sociology (A),WI23,9,6,100.0%,100.0%,2.5,A- (3.83),
23,"Devereux, Christina Schopp",USP 124 - Land Use Planning (A),WI23,45,16,80.0%,93.3%,4.5,B+ (3.36),B (3.02)
24,"Lerner, Amy M",USP 125 - The Design of Social Research (A),WI23,25,4,100.0%,100.0%,4.5,B (3.25),B+ (3.58)
25,"Lewis, Leslie R",USP 128A - CAS: Community Engaged Resrch (A),WI23,12,3,66.7%,66.7%,3.17,B+ (3.33),
26,"Wartell, Julie Dara",USP 131 - Craft Breweries/Urban Economy (A),WI23,51,14,78.6%,85.7%,2.07,A (4.00),A- (3.72)
27,"Anderson, William Raymond",USP 138 - Urban Economic Development (A),WI23,19,4,100.0%,75.0%,3.5,A- (3.75),
28,"Lewis, Leslie R",USP 141A - Life Course Scholars Research (A),WI23,16,8,100.0%,100.0%,2.75,A (4.00),
29,"Bussell, Mirle Rabinowitz",USP 142A - Urban Chal. Homelessness I (A),WI23,19,5,100.0%,100.0%,2.9,A (4.00),
30,"Hinds, Juli Beth",USP 143 - The US Health Care System (A),WI23,235,102,84.7%,90.6%,5.52,B (3.28),B+ (3.49)
31,"Yetwin, Richard Mark",USP 150 - Real Estate/Law & Regulation (A),WI23,40,11,63.6%,54.5%,4.32,B+ (3.30),B- (2.81)
32,"Boomhower, Matthew Charles",USP 151 - Real Estate Plan & Development (A),WI23,60,14,85.7%,85.7%,3.93,A- (3.86),A- (3.81)
33,"Moeder, Nathan L",USP 152 - Real Estate/Dev Finance&Invest (A),WI23,49,15,78.6%,64.3%,6.36,B+ (3.43),B (3.12)
34,"Garcia, Kathleen",USP 165B - Adv.SpecTopics/Sustainability (A),WI23,15,8,87.5%,100.0%,5.25,B+ (3.50),
35,"Shilon, Mor",USP 165B - Adv.SpecTopics/Sustainability (B),WI23,16,9,100.0%,100.0%,6.5,A- (3.88),
36,"Lerner, Amy M",USP 171 - Sustainable Development (A),WI23,50,11,90.9%,90.9%,6.68,B+ (3.55),B (3.27)
37,"Herzog, Lawrence",USP 173 - History/Urban Planning&Design (A),WI23,45,7,100.0%,83.3%,5.64,A (4.00),A- (3.71)
38,"Peerson, Susan",USP 175 - Site Analysis (A),WI23,18,5,100.0%,100.0%,6.9,A- (3.80),
39,"Velasco, Diego",USP 177A - Urban Design Practicum (A),WI23,25,6,100.0%,100.0%,3.3,A (4.00),A- (3.82)
40,"Peerson, Susan",USP 177B - Advanced Urban Design (A),WI23,12,3,100.0%,100.0%,6.5,A (4.00),
41,"Frank, Lawrence Douglas",USP 180 - Transportation Planning (A),WI23,19,8,100.0%,100.0%,5.25,B+ (3.50),
42,"Martin, Isaac",USP 182 - Gentrification (A),WI23,22,3,66.7%,66.7%,4.5,B+ (3.67),B (3.01)
43,"Boomhower, Matthew Charles",USP 185B - Real Estate Fin/Dev Studio II (A),WI23,27,8,75.0%,75.0%,15.0,B+ (3.63),B+ (3.43)
44,"Norr, Alex Vaughn",USP 185B - Real Estate Fin/Dev Studio II (B),WI23,29,5,100.0%,100.0%,8.9,B+ (3.60),B+ (3.54)
45,"Pezzoli, Keith",USP 187 - Senior Seq. Research Project (A),WI23,43,10,90.0%,100.0%,8.3,A- (3.90),B+ (3.50)
46,"Andrews, Abigail Leslie",USP 188 - Field Research in Migrant Comm (A),WI23,29,10,100.0%,100.0%,6.3,A- (3.80),B+ (3.67)
47,"Shilon, Mor",USP 189 - Special Topics/Urban Planning (B),WI23,11,6,100.0%,100.0%,3.17,B+ (3.67),
48,"Rothberg, Scott Jacob",USP 191A - Int. GIS for Urban & Comm Plan (A),WI23,21,6,100.0%,83.3%,7.5,A (4.00),A- (3.90)
49,"Bussell, Mirle Rabinowitz",USP 193 - San Diego Community Research (A),WI23,21,3,100.0%,100.0%,5.83,B+ (3.67),A- (3.79)
50,"Pezzoli, Keith",USP 2 - Urban World System (A),WI23,61,32,96.8%,100.0%,4.37,B+ (3.69),A- (3.73)
51,"Sun, Feiyang",USP 25 - Real Estate/Principle&Analysis (A),WI23,54,15,93.3%,93.3%,3.43,A- (3.87),A- (3.79)
52,"Polat, Soydan Alihan",USP 4 - Intro/Geographic Info Systems (A),WI23,24,7,100.0%,100.0%,3.36,B (3.29),B+ (3.47)
53,"Kwak, Nancy",USP 1 - History/US Urban Communities (A),FA22,125,37,100.0%,100.0%,4.33,A- (3.85),A- (3.87)
54,"Bussell, Mirle Rabinowitz",USP 124 - Land Use Planning (A),FA22,71,24,95.0%,95.0%,5.07,A- (3.71),B (3.25)
