,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Dominguez, Ricardo",VIS 10 - Computing Arts Lecture Series (A),SP23,211,80,93.8%,96.3%,1.53,A- (3.92),A- (3.95)
1,"Park, Kyong Dong",VIS 101A - Designing Urban Ecologies (A),SP23,17,3,100.0%,66.7%,8.5,A (4.00),
2,"Cruz, Edwin Teddy",VIS 102 - Democratizing the City (A),SP23,77,30,82.1%,82.1%,3.1,A- (3.89),B+ (3.41)
3,"Cruz, Edwin Teddy",VIS 103 - Architectural Practices (A),SP23,73,32,86.7%,93.3%,2.94,A- (3.80),B+ (3.55)
4,"Herc-Balaszek, Malgorzata",VIS 105A - Drawing: Representing/Subject (A),SP23,28,15,100.0%,100.0%,4.5,A- (3.80),A- (3.89)
5,"Li, Huai",VIS 105E - Chin Calligraphy/Installation (A),SP23,12,6,100.0%,100.0%,5.3,A- (3.80),
6,"Vangenderen, Monique Luise",VIS 106A - Painting: Image Making (A),SP23,26,16,93.8%,87.5%,8.77,A- (3.75),B+ (3.70)
7,"Piersol, Sabrina",VIS 106B - Painting: Practices and Genre (A),SP23,25,7,85.7%,100.0%,9.93,A (4.00),B+ (3.67)
8,"Vangenderen, Monique Luise",VIS 106C - Painting: Portfolio Projects (A),SP23,18,11,100.0%,100.0%,12.7,A- (3.90),
9,"Iglesias, Janelle Ann",VIS 107B - Sculpture: Practices & Genre (A),SP23,10,7,100.0%,100.0%,10.5,A- (3.86),
10,"Dinco, Dino",VIS 108 - Advanced Projects in Art (A),SP23,14,3,100.0%,100.0%,3.17,A (4.00),
11,"Gregoire, Mathieu",VIS 110D - Visual Narrative (A),SP23,17,4,100.0%,100.0%,6.5,A (4.00),
12,"Iglesias, Janelle Ann",VIS 110N - Studio Honors II (A),SP23,9,4,100.0%,100.0%,15.5,A- (3.75),
13,"Tronzo, William",VIS 122B - Baroque (A),SP23,79,23,100.0%,100.0%,3.45,A (4.00),A- (3.98)
14,"Rose, Jordan M",VIS 124CN - Nineteenth Century Art (A),SP23,74,23,100.0%,95.2%,5.68,B+ (3.57),A- (3.73)
15,"Kester, Grant",VIS 125G - Hist. of Socially Engaged Art (A),SP23,72,20,89.5%,94.7%,5.72,B+ (3.39),B+ (3.38)
16,"Kester, Grant",VIS 129F - Seminar/Art Theory & Criticism (A),SP23,16,3,100.0%,100.0%,7.17,B+ (3.67),
17,"Erdmann, Dean",VIS 131 - Special Projects in Media (A),SP23,17,4,100.0%,100.0%,8.5,B+ (3.50),
18,"Bratton, Benjamin H.",VIS 133 - Lecture Topics in Spec Design (A),SP23,55,13,69.2%,58.3%,2.65,B+ (3.50),A- (3.75)
19,"Riley, Joseph",VIS 133A - Studio Topics in Spec Design (A),SP23,15,3,100.0%,100.0%,3.83,B+ (3.33),
20,"Akten, Mehmet",VIS 145B - Time&Process Digital Media II (A),SP23,18,5,100.0%,100.0%,5.7,A- (3.80),
21,"Alexander, Amy J",VIS 145B - Time&Process Digital Media II (B),SP23,15,10,88.9%,66.7%,3.39,A- (3.89),
22,"Stone, Patricia",VIS 147A - Electronic Technologies/Art I (A),SP23,43,16,78.6%,30.8%,4.63,A- (3.87),A- (3.83)
23,"Artenstein, Isaac",VIS 156 - Latino American Cinema (A),SP23,45,10,90.0%,88.9%,4.9,A- (3.78),A- (3.78)
24,"Bratton, Benjamin H.",VIS 159 - History of Art and Technology (A),SP23,188,52,77.1%,70.8%,3.38,A- (3.72),B+ (3.59)
25,"Stalbaum, Brett",VIS 160B - Senior Proj/Computing Arts II (B),SP23,17,3,100.0%,100.0%,12.5,A (4.00),
26,"Cross, Brian R",VIS 164 - Photographic Strategies (A),SP23,23,12,100.0%,100.0%,5.17,A- (3.73),A- (3.86)
27,"Wallen, Ruth",VIS 164 - Photographic Strategies (B),SP23,12,3,100.0%,33.3%,6.5,B+ (3.33),
28,"Peng, Kaisi",VIS 165 - Black and White Darkroom (A),SP23,22,4,100.0%,100.0%,7.0,A (4.00),A- (3.91)
29,"Camargo, William",VIS 167 - Social Engagement&Photography (A),SP23,22,5,75.0%,75.0%,6.5,A- (3.75),A- (3.85)
30,"Nakayama, Yue",VIS 169B - Advanced Photographic Print (A),SP23,14,7,100.0%,100.0%,7.93,A- (3.86),
31,"Trigilio, Michael",VIS 172 - Motion Design/Visual Effects (A),SP23,23,8,100.0%,100.0%,5.75,A- (3.86),B+ (3.43)
32,"Cross, Brian R",VIS 174 - Media Sketchbook (A),SP23,16,8,100.0%,100.0%,4.5,A- (3.75),
33,"Dinco, Dino",VIS 174 - Media Sketchbook (B),SP23,18,4,100.0%,75.0%,10.0,A- (3.75),
34,"Gomez Mostajo, Maria Loren",VIS 180A - Documentary Evidence/Media Pra (A),SP23,16,3,100.0%,100.0%,13.83,B+ (3.67),
35,"Dinco, Dino",VIS 180B - Fic & Allegory/Curr Media Prac (A),SP23,16,4,100.0%,100.0%,11.5,B+ (3.50),
36,"Trigilio, Michael",VIS 183B - Strategies of Alterity (A),SP23,24,4,100.0%,100.0%,10.5,B+ (3.50),B+ (3.37)
37,"Erdmann, Dean",VIS 185 - Senior Media Projects (A),SP23,20,13,100.0%,100.0%,9.58,B+ (3.62),B+ (3.50)
38,"Gaines, Malik Julian",VIS 2 - Intr/Art-Making:Motn&Time Base (A),SP23,93,17,75.0%,100.0%,1.5,A- (3.93),B+ (3.47)
39,"Shen, Kuiyi",VIS 21B - Introduction/Asian Art (A),SP23,230,91,92.1%,88.8%,4.0,B+ (3.68),B+ (3.54)
40,"Rose, Jordan M",VIS 22 - Formations of Modern Art (A),SP23,185,72,88.1%,92.2%,3.06,B+ (3.61),B+ (3.32)
41,"D'Elena-Tweed, Jessica Erin",VIS 41 - Design Communication (A),SP23,142,44,82.9%,75.0%,4.6,A- (3.89),A- (3.79)
42,"Segade, Alexandro Abraham",VIS 70N - Introduction to Media (A),SP23,132,67,92.4%,95.3%,3.23,A- (3.88),A- (3.80)
43,"Williams, Alena J",VIS 84 - Film History (A),SP23,273,112,59.6%,64.2%,4.21,B+ (3.40),B (3.12)
44,"Camargo, William",VIS 9 - Digital Photo for Non-Majors (A),SP23,140,37,80.6%,83.3%,2.61,A- (3.88),A- (3.86)
45,"Cruz, Edwin Teddy",VIS 100A - Design of Public Culture (A),WI23,18,9,88.9%,100.0%,7.17,B+ (3.67),
46,"Park, Kyong Dong",VIS 101 - Intro. to Urban Ecologies (A),WI23,73,20,90.0%,90.0%,5.1,B+ (3.63),B+ (3.51)
47,"Park, Kyong Dong",VIS 103A - Contemporary Arts in S. Korea (A),WI23,73,20,100.0%,94.7%,5.13,B+ (3.58),B+ (3.36)
48,"Herc-Balaszek, Malgorzata",VIS 105A - Drawing: Representing/Subject (A),WI23,33,18,100.0%,100.0%,7.61,A- (3.78),A- (3.88)
49,"Tonies, Joshua Vanjaymes",VIS 105B - Drawing: Practices and Genre (A),WI23,24,8,100.0%,100.0%,7.0,A (4.00),A- (3.81)
50,"Dean, Danielle Adobi",VIS 105C - Drawing: Portfolio Projects (A),WI23,16,10,90.0%,66.7%,5.5,A- (3.90),
51,"Li, Huai",VIS 105D - Aesthetics/Chinese Calligraphy (A),WI23,27,11,100.0%,100.0%,4.14,A (4.00),A- (3.91)
52,"Tobe, Geoffroy",VIS 106A - Painting: Image Making (A),WI23,24,18,100.0%,100.0%,9.5,A- (3.94),A- (3.94)
53,"Dean, Danielle Adobi",VIS 107A - Sculpture: Making the Object (A),WI23,25,9,75.0%,75.0%,7.17,B+ (3.67),A- (3.96)
54,"Ortiz-Torres, Ruben",VIS 108 - Advanced Projects in Art (A),WI23,18,3,100.0%,100.0%,5.17,A (4.00),
55,"Cartwright, Lisa",VIS 11 - Introduction to Visual Culture (A),WI23,392,154,68.0%,77.9%,3.33,A- (3.74),A- (3.71)
56,"Tobe, Geoffroy",VIS 110H - Art and Text (A),WI23,14,11,100.0%,100.0%,7.41,A- (3.91),
57,"Tonies, Joshua Vanjaymes",VIS 110K - Digital Studio (A),WI23,24,7,100.0%,100.0%,5.93,A (4.00),A- (3.99)
58,"Ortiz-Torres, Ruben",VIS 110M - Studio Honors I (A),WI23,11,5,100.0%,100.0%,10.1,A- (3.80),
59,"Welchman, John C.",VIS 112 - Theories and Methods (A),WI23,15,4,50.0%,100.0%,5.0,B (3.25),
