Course,Enroll,GPA,yearly_num,dept,num,index
AAS 10,334,3.6767065868263473,135,AAS,10,0
AAS 11,65,3.71,65,AAS,11,1
AAS 170,51,3.7505882352941176,51,AAS,170,2
ANAR 100,20,3.3,20,ANAR,100,0
ANAR 115,26,3.07,26,ANAR,115,1
ANAR 116,27,3.6200000000000006,27,ANAR,116,2
ANAR 135,46,3.994782608695652,24,ANAR,135,3
ANAR 143,61,3.5431147540983607,25,ANAR,143,4
ANAR 155,45,3.9846666666666666,22,ANAR,155,5
ANAR 164,81,3.4472839506172837,41,ANAR,164,6
ANBI 100,58,3.9803448275862072,30,ANBI,100,0
ANBI 111,22,2.93,22,ANBI,111,1
ANBI 130,71,3.41,71,ANBI,130,2
ANBI 139,157,3.4,157,ANBI,139,3
ANBI 140,74,2.468378378378379,36,ANBI,140,4
ANBI 141,323,3.727863777089783,186,ANBI,141,5
ANBI 143,58,3.4720689655172414,33,ANBI,143,6
ANBI 144,72,3.0366666666666666,32,ANBI,144,7
ANBI 145,40,3.0300000000000002,20,ANBI,145,8
ANBI 173,20,3.4900000000000007,20,ANBI,173,9
ANBI 175,22,2.9,18,ANBI,175,10
ANSC 101,73,3.75,38,ANSC,101,0
ANSC 104,77,2.409090909090909,42,ANSC,104,1
ANSC 105,71,3.687323943661972,71,ANSC,105,2
ANSC 120,38,4.0,38,ANSC,120,3
ANSC 121,70,3.650285714285714,31,ANSC,121,4
ANSC 122,67,2.996268656716418,26,ANSC,122,5
ANSC 124,55,3.6112727272727274,29,ANSC,124,6
ANSC 125,150,3.6273333333333335,64,ANSC,125,7
ANSC 135,92,3.5152173913043474,60,ANSC,135,8
ANSC 137,63,3.37,36,ANSC,137,9
ANSC 142,44,3.83,44,ANSC,142,10
ANSC 146,45,3.67,45,ANSC,146,11
ANSC 147,65,3.523846153846154,30,ANSC,147,12
ANSC 148,206,3.4186893203883497,104,ANSC,148,13
ANSC 150,87,2.9433333333333334,29,ANSC,150,14
ANSC 164,49,3.127959183673469,25,ANSC,164,15
ANSC 175,62,3.8574193548387097,36,ANSC,175,16
ANSC 180,24,3.8699999999999997,24,ANSC,180,17
ANSC 184,23,3.21,23,ANSC,184,18
ANSC 186,21,2.91,24,ANSC,186,19
ANSC 188,36,3.83,36,ANSC,188,20
ANSC 190,34,3.64,34,ANSC,190,21
ANTH 1,280,3.6197142857142857,157,ANTH,1,0
ANTH 2,663,3.0766666666666667,333,ANTH,2,1
ANTH 3,192,3.6029166666666668,113,ANTH,3,2
ANTH 4,97,3.0494845360824745,65,ANTH,4,3
